x	 prey 	 predator
0	10	10
0.00592159	9.82933	10.0351
0.0115596	9.6688	10.0677
0.0170132	9.51537	10.0984
0.0223424	9.36718	10.1277
0.0275845	9.22312	10.1559
0.0327636	9.08244	10.183
0.0378951	8.94468	10.2093
0.0429898	8.80951	10.2346
0.0480551	8.67671	10.2593
0.0530963	8.54611	10.2831
0.0581176	8.41758	10.3063
0.0631222	8.29102	10.3288
0.0681129	8.16635	10.3506
0.073092	8.0435	10.3718
0.0780616	7.92239	10.3923
0.0830237	7.80297	10.4123
0.0879801	7.68518	10.4316
0.0929324	7.56899	10.4504
0.0978822	7.45433	10.4685
0.102831	7.34117	10.4862
0.107781	7.22947	10.5032
0.112732	7.11918	10.5197
0.117687	7.01028	10.5357
0.122647	6.90272	10.5512
0.127613	6.79648	10.5661
0.132587	6.69152	10.5806
0.13757	6.58781	10.5945
0.142562	6.48532	10.6079
0.147566	6.38404	10.6208
0.152583	6.28392	10.6333
0.157614	6.18495	10.6452
0.16266	6.0871	10.6567
0.167722	5.99036	10.6677
0.172802	5.89469	10.6782
0.177901	5.80008	10.6883
0.18302	5.70651	10.6979
0.18816	5.61396	10.707
0.193323	5.52242	10.7157
0.19851	5.43186	10.7239
0.203722	5.34226	10.7317
0.208961	5.25362	10.739
0.214227	5.16591	10.7458
0.219522	5.07913	10.7522
0.224847	4.99326	10.7581
0.230204	4.90828	10.7636
0.235594	4.82418	10.7686
0.241019	4.74096	10.7732
0.246479	4.65859	10.7773
0.251976	4.57706	10.781
0.257511	4.49638	10.7842
0.263087	4.41651	10.7869
0.268704	4.33747	10.7892
0.274365	4.25923	10.791
0.28007	4.18178	10.7924
0.285821	4.10512	10.7933
0.29162	4.02925	10.7937
0.297468	3.95414	10.7936
0.303368	3.87979	10.7931
0.309321	3.80621	10.7921
0.315329	3.73336	10.7906
0.321393	3.66127	10.7886
0.327516	3.5899	10.7861
0.333699	3.51927	10.7832
0.339946	3.44936	10.7797
0.346257	3.38016	10.7757
0.352635	3.31168	10.7712
0.359082	3.24391	10.7662
0.3656	3.17683	10.7606
0.372193	3.11046	10.7546
0.378862	3.04478	10.7479
0.38561	2.97978	10.7408
0.39244	2.91547	10.7331
0.399354	2.85185	10.7248
0.406355	2.7889	10.7159
0.413447	2.72663	10.7065
0.420633	2.66502	10.6965
0.427915	2.60409	10.6858
0.435297	2.54382	10.6746
0.442783	2.48422	10.6627
0.450376	2.42528	10.6502
0.458081	2.367	10.637
0.465901	2.30937	10.6232
0.47384	2.2524	10.6087
0.481903	2.19609	10.5935
0.490095	2.14043	10.5777
0.49842	2.08542	10.5611
0.506883	2.03107	10.5437
0.51549	1.97736	10.5256
0.524247	1.92431	10.5067
0.533158	1.8719	10.4871
0.542231	1.82015	10.4666
0.551472	1.76904	10.4453
0.560888	1.71858	10.4231
0.570486	1.66878	10.4001
0.580273	1.61962	10.3761
0.590259	1.57112	10.3512
0.600451	1.52326	10.3254
0.610859	1.47607	10.2985
0.621492	1.42952	10.2707
0.632361	1.38363	10.2417
0.643476	1.3384	10.2117
0.65485	1.29383	10.1806
0.666494	1.24992	10.1483
0.678423	1.20668	10.1148
0.690649	1.1641	10.0801
0.703189	1.12219	10.044
0.716058	1.08095	10.0066
0.729275	1.04038	9.9678
0.742857	1.0005	9.92753
0.756825	0.961291	9.88575
0.771201	0.922772	9.84238
0.786009	0.884943	9.79735
0.801272	0.847809	9.7506
0.81702	0.811374	9.70203
0.833281	0.775643	9.65156
0.850088	0.740622	9.59911
0.867477	0.706318	9.54457
0.885484	0.672736	9.48783
0.904153	0.639884	9.42878
0.923527	0.60777	9.3673
0.943657	0.576402	9.30325
0.964596	0.545789	9.23648
0.986404	0.515941	9.16686
1.00914	0.48687	9.09421
1.03289	0.458589	9.01835
1.05771	0.43111	8.9391
1.08369	0.404451	8.85627
1.11092	0.378629	8.76966
1.1395	0.353664	8.67906
1.16951	0.329579	8.58427
1.20107	0.3064	8.48509
1.23427	0.284157	8.38135
1.26921	0.262881	8.27292
1.30597	0.24261	8.15972
1.34462	0.22338	8.04176
1.3852	0.205232	7.91916
1.4277	0.188201	7.79216
1.47209	0.172318	7.66115
1.51825	0.157604	7.5267
1.56605	0.144066	7.38947
1.6153	0.131692	7.25024
1.66578	0.120449	7.10984
1.71726	0.110288	6.96905
1.76953	0.101144	6.82862
1.8224	0.0929413	6.68917
1.87568	0.085598	6.55123
1.92925	0.0790311	6.41518
1.98299	0.0731599	6.28132
2.03683	0.0679085	6.14984
2.0907	0.063207	6.02085
2.14458	0.0589923	5.89442
2.19844	0.055208	5.77057
2.25227	0.0518046	5.64928
2.30607	0.0487382	5.53051
2.35983	0.0459708	5.41423
2.41357	0.0434689	5.30038
2.46728	0.0412033	5.1889
2.52099	0.0391487	5.07972
2.57469	0.0372828	4.9728
2.6284	0.0355862	4.86805
2.68214	0.0340418	4.76544
2.7359	0.0326347	4.66489
2.7897	0.0313518	4.56637
2.84355	0.0301815	4.46981
2.89746	0.0291135	4.37516
2.95143	0.0281388	4.28238
3.00548	0.0272495	4.19142
3.05962	0.0264385	4.10224
3.11384	0.0256994	4.0148
3.16816	0.0250267	3.92905
3.22258	0.0244155	3.84497
3.27712	0.0238612	3.7625
3.33177	0.02336	3.68162
3.38655	0.0229083	3.60229
3.44146	0.0225031	3.52449
3.4965	0.0221416	3.44816
3.55169	0.0218213	3.3733
3.60702	0.0215402	3.29985
3.66251	0.0212962	3.22781
3.71816	0.0210878	3.15713
3.77397	0.0209134	3.0878
3.82995	0.0207718	3.01978
3.88612	0.020662	2.95305
3.94246	0.0205831	2.88758
3.99899	0.0205342	2.82334
4.05572	0.0205149	2.76033
4.11265	0.0205247	2.6985
4.16978	0.0205633	2.63785
4.22713	0.0206305	2.57834
4.28469	0.0207262	2.51995
4.34248	0.0208507	2.46267
4.40051	0.021004	2.40647
4.45877	0.0211865	2.35133
4.51727	0.0213987	2.29723
4.57603	0.0216412	2.24416
4.63504	0.0219147	2.19209
4.69432	0.0222201	2.14101
4.75388	0.0225583	2.09089
4.81371	0.0229305	2.04173
4.87383	0.0233379	1.9935
4.93425	0.0237821	1.94618
4.99497	0.0242647	1.89976
5.056	0.0247873	1.85423
5.11735	0.0253521	1.80956
5.17903	0.0259612	1.76574
5.24105	0.0266171	1.72276
5.30341	0.0273222	1.68061
5.36613	0.0280796	1.63926
5.42922	0.0288924	1.5987
5.49268	0.0297641	1.55892
5.55652	0.0306984	1.51992
5.62076	0.0316996	1.48166
