x	 y 	 value
0	1	-0.5
0.05	0.975012	-0.498887
0.104316	0.947966	-0.496292
0.161337	0.919766	-0.492021
0.219914	0.891097	-0.485997
0.279269	0.862457	-0.478221
0.338888	0.834203	-0.468742
0.398439	0.806595	-0.457637
0.45771	0.779822	-0.444997
0.516568	0.754022	-0.430921
0.574928	0.729302	-0.415511
0.632742	0.705741	-0.398869
0.689979	0.683401	-0.381097
0.746628	0.662328	-0.362294
0.802683	0.642557	-0.342558
0.858149	0.624113	-0.321983
0.913035	0.607013	-0.30066
0.967353	0.591267	-0.278675
1.02112	0.576878	-0.256112
1.07436	0.563847	-0.233048
1.1271	0.552168	-0.209559
1.17936	0.541832	-0.185713
1.23117	0.532829	-0.161575
1.28258	0.525144	-0.137203
1.33361	0.518764	-0.112653
1.38431	0.513675	-0.0879758
1.43472	0.509861	-0.0632167
1.48488	0.50731	-0.0384184
1.53486	0.506008	-0.0136203
1.58469	0.505946	0.0111409
1.63443	0.507115	0.0358301
1.68414	0.509508	0.0604131
1.73386	0.513121	0.0848561
1.78365	0.517953	0.109124
1.83356	0.524003	0.133182
1.88363	0.531272	0.15699
1.93392	0.539764	0.180509
1.98448	0.54948	0.203693
2.03533	0.560425	0.226496
2.08652	0.5726	0.248866
2.13809	0.586006	0.270748
2.19006	0.600641	0.292082
2.24247	0.616504	0.312806
2.29535	0.633585	0.332853
2.34872	0.651876	0.352154
2.40259	0.67136	0.370634
2.457	0.692018	0.388218
2.51195	0.713823	0.404827
2.56746	0.736745	0.420382
2.62355	0.760745	0.4348
2.68022	0.785778	0.447999
2.73748	0.811793	0.459896
2.79534	0.838729	0.47041
2.8538	0.866519	0.479459
2.91287	0.895086	0.486966
2.97255	0.924348	0.492854
3.03284	0.954212	0.49705
3.09372	0.984578	0.499489
3.15521	1.01534	0.500108
3.21728	1.04637	0.498852
3.27994	1.07756	0.495674
3.34317	1.10877	0.490535
3.40695	1.13986	0.483406
3.47128	1.1707	0.474267
3.53614	1.20112	0.463111
3.6015	1.231	0.449943
3.66735	1.26016	0.434779
3.73366	1.28845	0.417649
3.80042	1.31572	0.398596
3.86758	1.34182	0.377677
3.93514	1.3666	0.354963
4.00306	1.3899	0.330537
4.07131	1.4116	0.304496
4.13986	1.43155	0.27695
4.20869	1.44964	0.248019
4.27777	1.46575	0.217835
4.34707	1.47978	0.18654
4.41656	1.49164	0.154284
4.48622	1.50125	0.121225
4.55601	1.50854	0.0875287
4.62591	1.51347	0.0533632
4.6959	1.51601	0.0189021
4.76595	1.51612	-0.0156789
4.83604	1.51381	-0.0502028
4.90613	1.50909	-0.084493
4.97621	1.50197	-0.118374
5.04626	1.4925	-0.151673
5.11625	1.48074	-0.184222
5.18615	1.46674	-0.215856
5.25594	1.45059	-0.246418
5.32559	1.43238	-0.275757
5.39508	1.41223	-0.303732
5.46439	1.39023	-0.330211
5.53348	1.36653	-0.355072
5.60234	1.34126	-0.378204
5.67092	1.31456	-0.399509
5.7392	1.28659	-0.418901
5.80716	1.2575	-0.43631
5.87477	1.22745	-0.451677
5.94199	1.19661	-0.464958
6.0088	1.16514	-0.476123
6.07517	1.1332	-0.485158
6.14108	1.10096	-0.492061
6.20649	1.06858	-0.496843
6.2714	1.03622	-0.499528
6.33577	1.00401	-0.500155
6.39958	0.972105	-0.498769
6.46282	0.940637	-0.49543
6.52547	0.909731	-0.490202
6.58752	0.879505	-0.483161
6.64896	0.850064	-0.474387
6.70977	0.821507	-0.463968
6.76995	0.793921	-0.451993
6.82949	0.767382	-0.438558
6.8884	0.74196	-0.423758
6.94668	0.717713	-0.407691
7.00432	0.69469	-0.390454
7.06134	0.672932	-0.372145
7.11774	0.652472	-0.352861
7.17352	0.633334	-0.332693
7.22871	0.615537	-0.311735
7.28333	0.599092	-0.290073
7.33737	0.584005	-0.267792
7.39088	0.570277	-0.244973
7.44386	0.557904	-0.221691
7.49636	0.54688	-0.198018
7.54839	0.537194	-0.174021
