#r	psi(r)	exact_f0(r)
0.0001	9.999e-05	9.999e-05
0.000155368	0.000155344	0.000155344
0.000208676	0.000208632	0.000208632
0.000260297	0.000260229	0.000260229
0.000310672	0.000310576	0.000310576
0.000360158	0.000360028	0.000360028
0.000409011	0.000408844	0.000408844
0.000457416	0.000457207	0.000457207
0.0005055	0.000505245	0.000505245
0.000553351	0.000553045	0.000553045
0.000601032	0.000600671	0.000600671
0.000648584	0.000648163	0.000648164
0.000696039	0.000695555	0.000695555
0.000743418	0.000742865	0.000742865
0.000790736	0.000790111	0.000790111
0.000838006	0.000837304	0.000837304
0.000885236	0.000884453	0.000884453
0.000932432	0.000931563	0.000931563
0.000979599	0.00097864	0.00097864
0.00102674	0.00102569	0.00102569
0.00107386	0.00107271	0.00107271
0.00112096	0.00111971	0.00111971
0.00116805	0.00116668	0.00116668
0.00121512	0.00121364	0.00121364
0.00126217	0.00126058	0.00126058
0.00130921	0.0013075	0.0013075
0.00135625	0.00135441	0.00135441
0.00140327	0.0014013	0.0014013
0.00145028	0.00144818	0.00144818
0.00149728	0.00149504	0.00149504
0.00154427	0.00154189	0.00154189
0.00159126	0.00158873	0.00158873
0.00163824	0.00163556	0.00163556
0.00168521	0.00168237	0.00168237
0.00173218	0.00172918	0.00172918
0.00177914	0.00177598	0.00177598
0.00182609	0.00182276	0.00182276
0.00187304	0.00186954	0.00186954
0.00191999	0.00191631	0.00191631
0.00196693	0.00196307	0.00196307
0.00201387	0.00200982	0.00200982
0.0020608	0.00205656	0.00205656
0.00210773	0.00210329	0.00210329
0.00215465	0.00215002	0.00215002
0.00220158	0.00219674	0.00219674
0.0022485	0.00224345	0.00224345
0.00229541	0.00229015	0.00229015
0.00234233	0.00233684	0.00233685
0.00238924	0.00238353	0.00238353
0.00243614	0.00243022	0.00243022
0.00248305	0.00247689	0.00247689
0.00252995	0.00252356	0.00252356
0.00257685	0.00257022	0.00257022
0.00262375	0.00261688	0.00261688
0.00267065	0.00266353	0.00266353
0.00271754	0.00271017	0.00271017
0.00276444	0.00275681	0.00275681
0.00281133	0.00280344	0.00280344
0.00285822	0.00285006	0.00285006
0.00290511	0.00289668	0.00289668
0.00295199	0.00294329	0.00294329
0.00299888	0.0029899	0.0029899
0.00304576	0.0030365	0.0030365
0.00309264	0.00308309	0.00308309
0.00313953	0.00312968	0.00312968
0.00318641	0.00317627	0.00317627
0.00323328	0.00322285	0.00322285
0.00328016	0.00326942	0.00326942
0.00332704	0.00331599	0.00331599
0.00337392	0.00336255	0.00336255
0.00342079	0.00340911	0.00340911
0.00346766	0.00345566	0.00345566
0.00351454	0.00350221	0.00350221
0.00356141	0.00354875	0.00354875
0.00360828	0.00359528	0.00359529
0.00365515	0.00364182	0.00364182
0.00370202	0.00368834	0.00368834
0.00374889	0.00373486	0.00373486
0.00379576	0.00378138	0.00378138
0.00384263	0.00382789	0.00382789
0.0038895	0.0038744	0.0038744
0.00393636	0.0039209	0.0039209
0.00398323	0.0039674	0.0039674
0.0040301	0.00401389	0.00401389
0.00407696	0.00406037	0.00406037
0.00412383	0.00410686	0.00410686
0.00417069	0.00415333	0.00415333
0.00421756	0.00419981	0.00419981
0.00426442	0.00424627	0.00424627
0.00431128	0.00429274	0.00429274
0.00435815	0.00433919	0.00433919
0.00440501	0.00438565	0.00438565
0.00445187	0.0044321	0.0044321
0.00449873	0.00447854	0.00447854
0.0045456	0.00452498	0.00452498
0.00459246	0.00457142	0.00457142
0.00463932	0.00461785	0.00461785
0.00468618	0.00466427	0.00466427
0.00473304	0.00471069	0.00471069
0.0047799	0.00475711	0.00475711
0.00482676	0.00480352	0.00480352
0.00487362	0.00484993	0.00484993
0.00492048	0.00489633	0.00489633
0.00496735	0.00494273	0.00494273
0.00501421	0.00498913	0.00498913
0.00506107	0.00503552	0.00503552
0.00510793	0.0050819	0.0050819
0.00515479	0.00512828	0.00512828
0.00520165	0.00517466	0.00517466
0.00524851	0.00522103	0.00522103
0.00529537	0.0052674	0.0052674
0.00534223	0.00531376	0.00531376
0.00538909	0.00536012	0.00536012
0.00543595	0.00540648	0.00540648
0.00548281	0.00545283	0.00545283
0.00552967	0.00549917	0.00549917
0.00557653	0.00554551	0.00554551
0.00562339	0.00559185	0.00559185
0.00567025	0.00563819	0.00563819
0.00571711	0.00568451	0.00568451
0.00576397	0.00573084	0.00573084
0.00581083	0.00577716	0.00577716
0.00585769	0.00582347	0.00582347
0.00590455	0.00586979	0.00586979
0.00595141	0.00591609	0.00591609
0.00599827	0.0059624	0.0059624
0.00604513	0.0060087	0.0060087
0.00609199	0.00605499	0.00605499
0.00613885	0.00610128	0.00610128
0.00618571	0.00614757	0.00614757
0.00623257	0.00619385	0.00619385
0.00627944	0.00624013	0.00624013
0.0063263	0.0062864	0.0062864
0.00637316	0.00633267	0.00633267
0.00642002	0.00637894	0.00637894
0.00646688	0.0064252	0.0064252
0.00651374	0.00647145	0.00647145
0.00656061	0.00651771	0.00651771
0.00660747	0.00656395	0.00656396
0.00665433	0.0066102	0.0066102
0.0067012	0.00665644	0.00665644
0.00674806	0.00670268	0.00670268
0.00679492	0.00674891	0.00674891
0.00684179	0.00679514	0.00679514
0.00688865	0.00684136	0.00684136
0.00693551	0.00688758	0.00688758
0.00698238	0.00693379	0.00693379
0.00702924	0.00698001	0.00698001
0.00707611	0.00702621	0.00702621
0.00712297	0.00707242	0.00707242
0.00716984	0.00711862	0.00711862
0.0072167	0.00716481	0.00716481
0.00726357	0.007211	0.007211
0.00731044	0.00725719	0.00725719
0.0073573	0.00730337	0.00730337
0.00740417	0.00734955	0.00734955
0.00745104	0.00739572	0.00739572
0.0074979	0.00744189	0.00744189
0.00754477	0.00748806	0.00748806
0.00759164	0.00753422	0.00753422
0.00763851	0.00758038	0.00758038
0.00768537	0.00762654	0.00762654
0.00773224	0.00767269	0.00767269
0.00777911	0.00771883	0.00771883
0.00782598	0.00776497	0.00776497
0.00787285	0.00781111	0.00781111
0.00791972	0.00785725	0.00785725
0.00796659	0.00790338	0.00790338
0.00801346	0.0079495	0.0079495
0.00806033	0.00799562	0.00799563
0.0081072	0.00804174	0.00804174
0.00815408	0.00808786	0.00808786
0.00820095	0.00813397	0.00813397
0.00824782	0.00818007	0.00818007
0.00829469	0.00822617	0.00822617
0.00834157	0.00827227	0.00827227
0.00838844	0.00831837	0.00831837
0.00843531	0.00836446	0.00836446
0.00848219	0.00841054	0.00841054
0.00852906	0.00845662	0.00845662
0.00857593	0.0085027	0.0085027
0.00862281	0.00854878	0.00854878
0.00866968	0.00859485	0.00859485
0.00871656	0.00864091	0.00864091
0.00876344	0.00868697	0.00868697
0.00881031	0.00873303	0.00873303
0.00885719	0.00877909	0.00877909
0.00890407	0.00882514	0.00882514
0.00895094	0.00887118	0.00887118
0.00899782	0.00891722	0.00891722
0.0090447	0.00896326	0.00896326
0.00909158	0.0090093	0.0090093
0.00913846	0.00905533	0.00905533
0.00918534	0.00910135	0.00910135
0.00923222	0.00914738	0.00914738
0.0092791	0.00919339	0.00919339
0.00932598	0.00923941	0.00923941
0.00937286	0.00928542	0.00928542
0.00941974	0.00933143	0.00933143
0.00946662	0.00937743	0.00937743
0.0095135	0.00942343	0.00942343
0.00956039	0.00946942	0.00946942
0.00960727	0.00951541	0.00951541
0.00965415	0.0095614	0.0095614
0.00970104	0.00960738	0.00960738
0.00974792	0.00965336	0.00965336
0.00979481	0.00969934	0.00969934
0.00984169	0.00974531	0.00974531
0.00988858	0.00979127	0.00979127
0.00993546	0.00983724	0.00983724
0.00998235	0.0098832	0.0098832
0.0100292	0.00992915	0.00992915
0.0100761	0.0099751	0.0099751
0.010123	0.0100211	0.0100211
0.0101699	0.010067	0.010067
0.0102168	0.0101129	0.0101129
0.0102637	0.0101589	0.0101589
0.0103106	0.0102048	0.0102048
0.0103575	0.0102507	0.0102507
0.0104043	0.0102967	0.0102967
0.0104512	0.0103426	0.0103426
0.0104981	0.0103885	0.0103885
0.010545	0.0104344	0.0104344
0.0105919	0.0104803	0.0104803
0.0106388	0.0105262	0.0105262
0.0106857	0.0105721	0.0105721
0.0107326	0.010618	0.010618
0.0107795	0.0106639	0.0106639
0.0108264	0.0107098	0.0107098
0.0108733	0.0107557	0.0107557
0.0109202	0.0108016	0.0108016
0.0109671	0.0108474	0.0108474
0.011014	0.0108933	0.0108933
0.0110608	0.0109392	0.0109392
0.0111077	0.010985	0.010985
0.0111546	0.0110309	0.0110309
0.0112015	0.0110768	0.0110768
0.0112484	0.0111226	0.0111226
0.0112953	0.0111685	0.0111685
0.0113422	0.0112143	0.0112143
0.0113891	0.0112602	0.0112602
0.011436	0.011306	0.011306
0.0114829	0.0113518	0.0113518
0.0115298	0.0113977	0.0113977
0.0115767	0.0114435	0.0114435
0.0116236	0.0114893	0.0114893
0.0116705	0.0115351	0.0115351
0.0117174	0.0115809	0.0115809
0.0117643	0.0116268	0.0116268
0.0118113	0.0116726	0.0116726
0.0118582	0.0117184	0.0117184
0.0119051	0.0117642	0.0117642
0.011952	0.01181	0.01181
0.0119989	0.0118558	0.0118558
0.0120458	0.0119015	0.0119015
0.0120927	0.0119473	0.0119473
0.0121396	0.0119931	0.0119931
0.0121865	0.0120389	0.0120389
0.0122334	0.0120847	0.0120847
0.0122803	0.0121304	0.0121304
0.0123272	0.0121762	0.0121762
0.0123741	0.012222	0.012222
0.012421	0.0122677	0.0122677
0.012468	0.0123135	0.0123135
0.0125149	0.0123592	0.0123592
0.0125618	0.012405	0.012405
0.0126087	0.0124507	0.0124507
0.0126556	0.0124964	0.0124964
0.0127025	0.0125422	0.0125422
0.0127494	0.0125879	0.0125879
0.0127963	0.0126336	0.0126336
0.0128432	0.0126794	0.0126794
0.0128902	0.0127251	0.0127251
0.0129371	0.0127708	0.0127708
0.012984	0.0128165	0.0128165
0.0130309	0.0128622	0.0128622
0.0130778	0.0129079	0.0129079
0.0131247	0.0129536	0.0129536
0.0131717	0.0129993	0.0129993
0.0132186	0.013045	0.013045
0.0132655	0.0130907	0.0130907
0.0133124	0.0131364	0.0131364
0.0133593	0.0131821	0.0131821
0.0134063	0.0132277	0.0132277
