x	 y 	 diff
2	2	1.32083
2.12245	2	1.39919
2.2449	2	0.435455
2.36735	2	0.559539
2.4898	2	0.700898
2.61224	2	0.852667
2.73469	2	1.00804
2.85714	2	1.16026
2.97959	2	1.30259
3.10204	2	1.42834
3.22449	2	1.53084
3.34694	2	0.328525
3.46939	2	0.315328
3.59184	2	0.287768
3.71429	2	0.251957
3.83673	2	0.214047
3.95918	2	0.180238
4.08163	2	0.156794
4.20408	2	0.150045
4.32653	2	0.166395
4.44898	2	1.01786
4.57143	2	1.14662
4.69388	2	1.27299
4.81633	2	1.39634
4.93878	2	1.51613
5.06122	2	1.6319
5.18367	2	1.74329
5.30612	2	1.85004
5.42857	2	1.95195
5.55102	2	2.04892
5.67347	2	0.973358
5.79592	2	1.11569
5.91837	2	1.25368
6.04082	2	1.38152
6.16327	2	1.49341
6.28571	2	1.5836
6.40816	2	1.64633
6.53061	2	1.67587
6.65306	2	1.66645
6.77551	2	0.305573
6.89796	2	0.31572
7.02041	2	0.327945
7.14286	2	0.346037
7.26531	2	0.373848
7.38776	2	0.415302
7.5102	2	0.474397
7.63265	2	0.555217
7.7551	2	0.661935
7.87755	2	1.49356
8	2	1.64506

2	2.16327	1.25353
2.12245	2.16327	1.28629
2.2449	2.16327	0.581052
2.36735	2.16327	0.681369
2.4898	2.16327	0.795001
2.61224	2.16327	0.917046
2.73469	2.16327	1.04268
2.85714	2.16327	1.16714
2.97959	2.16327	1.28571
3.10204	2.16327	1.39372
3.22449	2.16327	1.48651
3.34694	2.16327	0.165826
3.46939	2.16327	0.186138
3.59184	2.16327	0.190121
3.71429	2.16327	0.179491
3.83673	2.16327	0.156019
3.95918	2.16327	0.121544
4.08163	2.16327	0.0779832
4.20408	2.16327	0.0273478
4.32653	2.16327	0.0282514
4.44898	2.16327	1.00041
4.57143	2.16327	1.13158
4.69388	2.16327	1.25451
4.81633	2.16327	1.36664
4.93878	2.16327	1.46552
5.06122	2.16327	1.5488
5.18367	2.16327	1.6143
5.30612	2.16327	1.65992
5.42857	2.16327	1.68369
