x	 y 	 value
5.55556	2	-1.57563
5.55556	2.16327	-1.09553
5.55556	2.32653	-0.10511
5.55556	2.4898	1.51657
5.55556	2.65306	3.89046
5.55556	2.81633	0.639924
5.55556	2.97959	0.661446
5.55556	3.14286	0.827416
5.55556	3.30612	1.18053
5.55556	3.46939	1.76349
5.55556	3.63265	2.61898
5.55556	3.79592	3.78972
5.55556	3.95918	5.31839
5.55556	4.12245	2.05412
5.55556	4.28571	1.41877
5.55556	4.44898	0.326459
5.55556	4.61224	-1.31569
5.55556	4.77551	-3.60054
5.55556	4.93878	-6.62097
5.55556	5.10204	-10.4698
5.55556	5.26531	-15.2401
5.55556	5.42857	-0.590772
5.55556	5.59184	-1.97124
5.55556	5.7551	-3.89978
5.55556	5.91837	-6.45477
5.55556	6.08163	-9.71464
5.55556	6.2449	-13.7578
5.55556	6.40816	-18.6626
5.55556	6.57143	-24.5075
5.55556	6.73469	2.54143
5.55556	6.89796	4.45351
5.55556	7.06122	6.91221
5.55556	7.22449	9.9815
5.55556	7.38776	13.7254
5.55556	7.55102	18.2077
5.55556	7.71429	23.4926
5.55556	7.87755	29.644
5.55556	8.04082	13.9288
5.55556	8.20408	19.5575
5.55556	8.36735	26.4252
5.55556	8.53061	34.6485
5.55556	8.69388	44.3438
5.55556	8.85714	55.6276
5.55556	9.02041	68.6165
5.55556	9.18367	83.4268
5.55556	9.34694	2.26807
5.55556	9.5102	2.30757
5.55556	9.67347	2.34462
5.55556	9.83673	2.37802
5.55556	10	2.40659
