x	 y 	 value
2	6.66667	3.66297
2.12245	6.66667	6.25809
2.2449	6.66667	13.6314
2.36735	6.66667	14.1145
2.4898	6.66667	14.814
2.61224	6.66667	15.7136
2.73469	6.66667	16.7971
2.85714	6.66667	18.0479
2.97959	6.66667	19.4499
3.10204	6.66667	20.9867
3.22449	6.66667	22.642
3.34694	6.66667	8.98334
3.46939	6.66667	10.9963
3.59184	6.66667	13.0902
3.71429	6.66667	14.9483
3.83673	6.66667	16.254
3.95918	6.66667	16.6907
4.08163	6.66667	15.9416
4.20408	6.66667	13.69
4.32653	6.66667	9.61941
4.44898	6.66667	-2.35864
4.57143	6.66667	-1.3211
4.69388	6.66667	-0.635602
4.81633	6.66667	-0.567642
4.93878	6.66667	-1.3827
5.06122	6.66667	-3.34626
5.18367	6.66667	-6.7238
5.30612	6.66667	-11.7808
5.42857	6.66667	-18.7828
5.55102	6.66667	-27.9952
5.67347	6.66667	-12.2442
5.79592	6.66667	-13.596
5.91837	6.66667	-14.9305
6.04082	6.66667	-16.1674
6.16327	6.66667	-17.2265
6.28571	6.66667	-18.0275
6.40816	6.66667	-18.4901
6.53061	6.66667	-18.534
6.65306	6.66667	-18.079
6.77551	6.66667	-8.58943
6.89796	6.66667	-9.28616
7.02041	6.66667	-8.85084
7.14286	6.66667	-6.94757
7.26531	6.66667	-3.24046
7.38776	6.66667	2.6064
7.5102	6.66667	10.9289
7.63265	6.66667	22.063
7.7551	6.66667	36.3444
7.87755	6.66667	9.06584
8	6.66667	10.5439
