x	 y 	 value
2	2	1.14243
2.12245	2	1.24477
2.2449	2	0.310333
2.36735	2	0.468579
2.4898	2	0.648456
2.61224	2	0.842525
2.73469	2	1.04334
2.85714	2	1.24347
2.97959	2	1.43547
3.10204	2	1.61189
3.22449	2	1.7653
3.34694	2	-0.0436698
3.46939	2	0.0186533
3.59184	2	0.0933326
3.71429	2	0.173551
3.83673	2	0.252493
3.95918	2	0.323341
4.08163	2	0.379278
4.20408	2	0.413488
4.32653	2	0.419155
4.44898	2	-0.416071
4.57143	2	-0.534603
4.69388	2	-0.656919
4.81633	2	-0.782443
4.93878	2	-0.910599
5.06122	2	-1.04081
5.18367	2	-1.17251
5.30612	2	-1.30511
5.42857	2	-1.43804
5.55102	2	-1.57073
5.67347	2	-0.535058
5.79592	2	-0.720848
5.91837	2	-0.905212
6.04082	2	-1.08164
6.16327	2	-1.24362
6.28571	2	-1.38465
6.40816	2	-1.49821
6.53061	2	-1.57779
6.65306	2	-1.61689
6.77551	2	0.30887
6.89796	2	0.275697
7.02041	2	0.248197
7.14286	2	0.230752
7.26531	2	0.227749
7.38776	2	0.24357
7.5102	2	0.282599
7.63265	2	0.349222
7.7551	2	0.447821
7.87755	2	1.27753
8	2	1.43334

2	2.16327	0.962097
2.12245	2.16327	1.02704
2.2449	2.16327	0.361109
2.36735	2.16327	0.507268
2.4898	2.16327	0.672587
2.61224	2.16327	0.851391
2.73469	2.16327	1.03801
2.85714	2.16327	1.22676
2.97959	2.16327	1.41197
3.10204	2.16327	1.58797
3.22449	2.16327	1.74908
3.34694	2.16327	0.164364
3.46939	2.16327	0.209973
3.59184	2.16327	0.269218
3.71429	2.16327	0.339437
3.83673	2.16327	0.417967
3.95918	2.16327	0.502144
4.08163	2.16327	0.589306
4.20408	2.16327	0.67679
4.32653	2.16327	0.761932
4.44898	2.16327	-0.244931
4.57143	2.16327	-0.362378
4.69388	2.16327	-0.479873
4.81633	2.16327	-0.594921
4.93878	2.16327	-0.705027
5.06122	2.16327	-0.807697
5.18367	2.16327	-0.900436
5.30612	2.16327	-0.980749
5.42857	2.16327	-1.04614
5.55102	2.16327	-1.09412
5.67347	2.16327	-0.519301
5.79592	2.16327	-0.692681
