x	 y 	 diff
2	2	0.111724
2.12245	2	0.0913778
2.2449	2	0.0716294
2.36735	2	0.0729969
2.4898	2	0.0700072
2.61224	2	0.0632373
2.73469	2	0.0533205
2.85714	2	0.0409373
2.97959	2	0.0268053
3.10204	2	0.0116682
3.22449	2	0.00371539
3.34694	2	0.0194321
3.46939	2	0.0406711
3.59184	2	0.0599038
3.71429	2	0.0764245
3.83673	2	0.0895682
3.95918	2	0.0987205
4.08163	2	0.103327
4.20408	2	0.1029
4.32653	2	0.0970297
4.44898	2	0.0868179
4.57143	2	0.107828
4.69388	2	0.122669
4.81633	2	0.131279
4.93878	2	0.13369
5.06122	2	0.130029
5.18367	2	0.120511
5.30612	2	0.105441
5.42857	2	0.0852054
5.55102	2	0.0602692
5.67347	2	0.0568514
5.79592	2	0.0508529
5.91837	2	0.0419366
6.04082	2	0.0307969
6.16327	2	0.0181616
6.28571	2	0.00478074
6.40816	2	0.00858436
6.53061	2	0.0211726
6.65306	2	0.0322347
6.77551	2	0.0543811
6.89796	2	0.0752491
7.02041	2	0.0925228
7.14286	2	0.105607
7.26531	2	0.11397
7.38776	2	0.11715
7.5102	2	0.114764
7.63265	2	0.10651
7.7551	2	0.0921765
7.87755	2	0.104223
8	2	0.117444

2	2.16327	0.128801
2.12245	2.16327	0.101787
2.2449	2.16327	0.0760429
2.36735	2.16327	0.0806914
2.4898	2.16327	0.0794932
2.61224	2.16327	0.0732224
2.73469	2.16327	0.0627289
2.85714	2.16327	0.048926
2.97959	2.16327	0.0327764
3.10204	2.16327	0.015278
3.22449	2.16327	0.00255107
3.34694	2.16327	0.0208944
3.46939	2.16327	0.0471859
3.59184	2.16327	0.0707851
3.71429	2.16327	0.0907453
3.83673	2.16327	0.106174
3.95918	2.16327	0.116247
4.08163	2.16327	0.120219
4.20408	2.16327	0.117438
4.32653	2.16327	0.107353
4.44898	2.16327	0.091555
4.57143	2.16327	0.120602
4.69388	2.16327	0.14137
4.81633	2.16327	0.153777
4.93878	2.16327	0.157867
5.06122	2.16327	0.153808
5.18367	2.16327	0.14189
5.30612	2.16327	0.122522
5.42857	2.16327	0.0962232
5.55102	2.16327	0.0636162
5.67347	2.16327	0.0619179
5.79592	2.16327	0.0568349
5.91837	2.16327	0.0478366
6.04082	2.16327	0.0358549
6.16327	2.16327	0.0218661
6.28571	2.16327	0.00687701
6.40816	2.16327	0.00809097
6.53061	2.16327	0.0220166
6.65306	2.16327	0.0338942
6.77551	2.16327	0.0617017
6.89796	2.16327	0.0879256
7.02041	2.16327	0.109326
7.14286	2.16327	0.125106
7.26531	2.16327	0.13455
7.38776	2.16327	0.137039
7.5102	2.16327	0.132059
7.63265	2.16327	0.119206
7.7551	2.16327	0.0981942
7.87755	2.16327	0.115161
8	2.16327	0.13429

2	2.32653	0.132373
2.12245	2.32653	0.0995469
2.2449	2.32653	0.0688532
2.36735	2.32653	0.0780019
2.4898	2.32653	0.0799699
2.61224	2.32653	0.0757079
2.73469	2.32653	0.0662597
2.85714	2.32653	0.0527469
2.97959	2.32653	0.036352
3.10204	2.32653	0.0183005
3.22449	2.32653	0.000157
3.34694	2.32653	0.0193283
3.46939	2.32653	0.048919
3.59184	2.32653	0.0752032
3.71429	2.32653	0.0970179
3.83673	2.32653	0.113267
3.95918	2.32653	0.122938
4.08163	2.32653	0.125118
4.20408	2.32653	0.119003
4.32653	2.32653	0.103916
4.44898	2.32653	0.0819526
4.57143	2.32653	0.118671
4.69388	2.32653	0.145222
4.81633	2.32653	0.161504
4.93878	2.32653	0.167571
5.06122	2.32653	0.16363
5.18367	2.32653	0.150037
5.30612	2.32653	0.127294
5.42857	2.32653	0.0960381
5.55102	2.32653	0.0570352
5.67347	2.32653	0.0584799
5.79592	2.32653	0.0558632
5.91837	2.32653	0.0484379
6.04082	2.32653	0.0373483
6.16327	2.32653	0.0237939
6.28571	2.32653	0.00901083
6.40816	2.32653	0.00574627
6.53061	2.32653	0.0192232
6.65306	2.32653	0.0301848
6.77551	2.32653	0.0620021
6.89796	2.32653	0.092036
7.02041	2.32653	0.116146
7.14286	2.32653	0.133353
7.26531	2.32653	0.142778
7.38776	2.32653	0.143662
7.5102	2.32653	0.135372
7.63265	2.32653	0.117412
7.7551	2.32653	0.0894327
7.87755	2.32653	0.111251
8	2.32653	0.136443

2	2.4898	0.119358
2.12245	2.4898	0.0817725
2.2449	2.4898	0.0474128
2.36735	2.4898	0.0625591
2.4898	2.4898	0.0693817
2.61224	2.4898	0.0689825
2.73469	2.4898	0.0625715
2.85714	2.4898	0.051449
2.97959	2.4898	0.0369855
3.10204	2.4898	0.0206018
3.22449	2.4898	0.00374742
3.34694	2.4898	0.0140429
3.46939	2.4898	0.0447796
3.59184	2.4898	0.0716833
3.71429	2.4898	0.093406
3.83673	2.4898	0.108678
3.95918	2.4898	0.116324
4.08163	2.4898	0.115285
4.20408	2.4898	0.104633
4.32653	2.4898	0.08358
4.44898	2.4898	0.054739
4.57143	2.4898	0.0986812
4.69388	2.4898	0.130836
4.81633	2.4898	0.151089
4.93878	2.4898	0.1595
5.06122	2.4898	0.15631
5.18367	2.4898	0.141932
5.30612	2.4898	0.116947
5.42857	2.4898	0.0820938
5.55102	2.4898	0.0382608
5.67347	2.4898	0.0445967
5.79592	2.4898	0.046351
5.91837	2.4898	0.0425313
6.04082	2.4898	0.034464
6.16327	2.4898	0.0235395
6.28571	2.4898	0.0111908
6.40816	2.4898	0.00112784
6.53061	2.4898	0.0119625
