x	 y 	 diff
0	0	0
0.204082	0	0.0380612
0.408163	0	0.0677107
0.612245	0	0.0808858
0.816327	0	0.0702079
1.02041	0	0.0292879
1.22449	0	0.0547439
1.42857	0	0.12256
1.63265	0	0.14929
1.83673	0	0.134595
2.04082	0	0.0798539
2.2449	0	0.00616609
2.44898	0	0.0445115
2.65306	0	0.0563539
2.85714	0	0.0487168
3.06122	0	0.0294322
3.26531	0	0.00681546
3.46939	0	0.0366436
3.67347	0	0.0797218
3.87755	0	0.101751
4.08163	0	0.0959174
4.28571	0	0.0565654
4.4898	0	0.0232241
4.69388	0	0.102682
4.89796	0	0.140643
5.10204	0	0.137811
5.30612	0	0.0965854
5.5102	0	0.020958
5.71429	0	0.0220685
5.91837	0	0.0310256
6.12245	0	0.0251746
6.32653	0	0.0126809
6.53061	0	0.00198572
6.73469	0	0.0240326
6.93878	0	0.0829176
7.14286	0	0.1165
7.34694	0	0.118637
7.55102	0	0.0844913
7.7551	0	0.0107307
7.95918	0	0.0768008
8.16327	0	0.124237
8.36735	0	0.132138
8.57143	0	0.103883
8.77551	0	0.0443556
8.97959	0	0.00611217
9.18367	0	0.00796858
9.38776	0	8.53716e-05
9.59184	0	0.00967561
9.79592	0	0.0123643
10	0	0

0	0.244898	0
0.204082	0.244898	0.0551358
0.408163	0.244898	0.102111
0.612245	0.244898	0.133103
0.816327	0.244898	0.140954
1.02041	0.244898	0.119465
1.22449	0.244898	0.151115
1.42857	0.244898	0.214856
1.63265	0.244898	0.238737
1.83673	0.244898	0.222429
2.04082	0.244898	0.167269
2.2449	0.244898	0.0917306
2.44898	0.244898	0.108901
2.65306	0.244898	0.100359
2.85714	0.244898	0.0729194
3.06122	0.244898	0.0341794
3.26531	0.244898	0.00779325
3.46939	0.244898	0.067114
3.67347	0.244898	0.124629
3.87755	0.244898	0.161723
4.08163	0.244898	0.171786
4.28571	0.244898	0.14933
4.4898	0.244898	0.127861
4.69388	0.244898	0.198869
4.89796	0.244898	0.229617
5.10204	0.244898	0.220789
5.30612	0.244898	0.174714
5.5102	0.244898	0.095263
5.71429	0.244898	0.0785648
5.91837	0.244898	0.0661375
6.12245	0.244898	0.0393439
6.32653	0.244898	0.00610593
6.53061	0.244898	0.0253873
6.73469	0.244898	0.0689267
6.93878	0.244898	0.138713
7.14286	0.244898	0.183951
7.34694	0.244898	0.198682
7.55102	0.244898	0.178213
7.7551	0.244898	0.119312
7.95918	0.244898	0.17603
8.16327	0.244898	0.212165
8.36735	0.244898	0.209945
8.57143	0.244898	0.172648
8.77551	0.244898	0.105012
8.97959	0.244898	0.0528932
9.18367	0.244898	0.0332647
9.38776	0.244898	0.00402147
9.59184	0.244898	0.0267121
9.79592	0.244898	0.0507501
10	0.244898	0.0601843

0	0.489796	0
