x	 y 	 value
0	0	0
1.11111	0	0.896192
2.22222	0	0.79522
3.33333	0	-0.190568
4.44444	0	-0.964317
5.55556	0	-0.665102
6.66667	0	0.374151
7.77778	0	0.997098
8.88889	0	0.510606
10	0	-0.544021

0	1.33333	0.133333
1.11111	1.33333	0.344151
2.22222	1.33333	0.320399
3.33333	1.33333	0.0885046
4.44444	1.33333	-0.0935103
5.55556	1.33333	-0.0231235
6.66667	1.33333	0.221348
7.77778	1.33333	0.367888
8.88889	1.33333	0.253447
10	1.33333	0.00535913

0	2.66667	0.266667
1.11111	2.66667	-0.530341
2.22222	2.66667	-0.440544
3.33333	2.66667	0.436144
4.44444	2.66667	1.12426
5.55556	2.66667	0.858159
6.66667	2.66667	-0.066076
7.77778	2.66667	-0.620079
8.88889	2.66667	-0.187429
10	2.66667	0.750479

0	4	0.4
1.11111	4	-0.18579
2.22222	4	-0.119791
3.33333	4	0.524564
4.44444	4	1.03032
5.55556	4	0.834739
6.66667	4	0.155438
7.77778	4	-0.251747
8.88889	4	0.0662459
10	4	0.755596

0	5.33333	0.533333
1.11111	5.33333	1.05474
2.22222	5.33333	0.995995
3.33333	5.33333	0.42246
4.44444	5.33333	-0.0277097
5.55556	5.33333	0.146375
6.66667	5.33333	0.751016
7.77778	5.33333	1.11345
8.88889	5.33333	0.830405
10	5.33333	0.21682

0	6.66667	0.666667
1.11111	6.66667	1.49777
2.22222	6.66667	1.40413
3.33333	6.66667	0.48994
4.44444	6.66667	-0.22761
5.55556	6.66667	0.049873
6.66667	6.66667	1.01364
7.77778	6.66667	1.59134
8.88889	6.66667	1.14019
10	6.66667	0.162159

0	8	0.8
1.11111	8	0.669604
2.22222	8	0.684295
3.33333	8	0.827728
4.44444	8	0.940308
5.55556	8	0.896772
6.66667	8	0.745561
7.77778	8	0.654922
8.88889	8	0.725707
10	8	0.879155

0	9.33333	0.933333
1.11111	9.33333	0.0408856
2.22222	9.33333	0.141436
3.33333	9.33333	1.12311
4.44444	9.33333	1.89362
5.55556	9.33333	1.59566
6.66667	9.33333	0.560745
7.77778	9.33333	-0.0595985
8.88889	9.33333	0.424861
10	9.33333	1.47508

0	10.6667	1.06667
1.11111	10.6667	0.777188
2.22222	10.6667	0.809803
3.33333	10.6667	1.12822
4.44444	10.6667	1.37815
5.55556	10.6667	1.2815
6.66667	10.6667	0.945812
7.77778	10.6667	0.744595
8.88889	10.6667	0.901736
10	10.6667	1.24239

0	12	1.2
1.11111	12	1.95626
2.22222	12	1.87105
3.33333	12	1.03919
4.44444	12	0.386257
5.55556	12	0.638751
6.66667	12	1.51573
7.77778	12	2.04141
8.88889	12	1.63088
10	12	0.740926
