x	 y 	 value
5.55556	0	-0.665102
5.55556	0.244898	-0.547187
5.55556	0.489796	-0.429273
5.55556	0.734694	-0.311359
5.55556	0.979592	-0.193444
5.55556	1.22449	-0.0755299
5.55556	1.46939	0.0668033
5.55556	1.71429	0.228672
5.55556	1.95918	0.39054
5.55556	2.20408	0.552408
5.55556	2.44898	0.714276
5.55556	2.69388	0.857681
5.55556	2.93878	0.85338
5.55556	3.18367	0.849078
5.55556	3.42857	0.844776
5.55556	3.67347	0.840475
5.55556	3.91837	0.836173
5.55556	4.16327	0.75045
5.55556	4.40816	0.624016
5.55556	4.65306	0.497581
5.55556	4.89796	0.371147
5.55556	5.14286	0.244713
5.55556	5.38776	0.142436
5.55556	5.63265	0.124711
5.55556	5.87755	0.106986
5.55556	6.12245	0.0892616
5.55556	6.36735	0.0715367
5.55556	6.61224	0.0538119
5.55556	6.85714	0.170859
5.55556	7.10204	0.326412
5.55556	7.34694	0.481964
5.55556	7.59184	0.637517
5.55556	7.83673	0.79307
5.55556	8.08163	0.939561
5.55556	8.32653	1.06793
5.55556	8.57143	1.19629
5.55556	8.81633	1.32466
5.55556	9.06122	1.45303
5.55556	9.30612	1.58139
5.55556	9.55102	1.54437
5.55556	9.79592	1.48666
5.55556	10.0408	1.42896
5.55556	10.2857	1.37126
5.55556	10.5306	1.31356
5.55556	10.7755	1.22903
5.55556	11.0204	1.11098
5.55556	11.2653	0.992919
5.55556	11.5102	0.874863
5.55556	11.7551	0.756807
5.55556	12	0.638751
