x	 y 	 value
0	6.66667	0.666667
0.204082	6.66667	0.819318
0.408163	6.66667	0.971969
0.612245	6.66667	1.12462
0.816327	6.66667	1.27727
1.02041	6.66667	1.42992
1.22449	6.66667	1.48821
1.42857	6.66667	1.47101
1.63265	6.66667	1.45381
1.83673	6.66667	1.43661
2.04082	6.66667	1.41942
2.2449	6.66667	1.38547
2.44898	6.66667	1.21756
2.65306	6.66667	1.04965
2.85714	6.66667	0.881735
3.06122	6.66667	0.713823
3.26531	6.66667	0.545911
3.46939	6.66667	0.402077
3.67347	6.66667	0.270282
3.87755	6.66667	0.138487
4.08163	6.66667	0.00669215
4.28571	6.66667	-0.125103
4.4898	6.66667	-0.216284
4.69388	6.66667	-0.165318
4.89796	6.66667	-0.114352
5.10204	6.66667	-0.0633853
5.30612	6.66667	-0.0124191
5.5102	6.66667	0.0385472
5.71429	6.66667	0.187554
5.91837	6.66667	0.364573
6.12245	6.66667	0.541592
6.32653	6.66667	0.718611
6.53061	6.66667	0.89563
6.73469	6.66667	1.04901
6.93878	6.66667	1.15512
7.14286	6.66667	1.26123
7.34694	6.66667	1.36734
7.55102	6.66667	1.47344
7.7551	6.66667	1.57955
7.95918	6.66667	1.51768
8.16327	6.66667	1.43482
8.36735	6.66667	1.35195
8.57143	6.66667	1.26909
8.77551	6.66667	1.18622
8.97959	6.66667	1.06035
9.18367	6.66667	0.880709
9.38776	6.66667	0.701072
9.59184	6.66667	0.521434
9.79592	6.66667	0.341797
10	6.66667	0.162159
