x	 y 	 value
0	0	0
0.204082	0	0.164607
0.408163	0	0.329213
0.612245	0	0.49382
0.816327	0	0.658427
1.02041	0	0.823034
1.22449	0	0.885889
1.42857	0	0.867343
1.63265	0	0.848797
1.83673	0	0.830251
2.04082	0	0.811705
2.2449	0	0.775102
2.44898	0	0.594039
2.65306	0	0.412976
2.85714	0	0.231913
3.06122	0	0.0508495
3.26531	0	-0.130214
3.46939	0	-0.285313
3.67347	0	-0.42743
3.87755	0	-0.569547
4.08163	0	-0.711664
4.28571	0	-0.853782
4.4898	0	-0.952104
4.69388	0	-0.897146
4.89796	0	-0.842188
5.10204	0	-0.78723
5.30612	0	-0.732272
5.5102	0	-0.677314
5.71429	0	-0.516637
5.91837	0	-0.325754
6.12245	0	-0.134871
6.32653	0	0.0560126
6.53061	0	0.246896
6.73469	0	0.412291
6.93878	0	0.52671
7.14286	0	0.641128
7.34694	0	0.755547
7.55102	0	0.869966
7.7551	0	0.984385
7.95918	0	0.917671
8.16327	0	0.828315
8.36735	0	0.738959
8.57143	0	0.649603
8.77551	0	0.560248
8.97959	0	0.424514
9.18367	0	0.230807
9.38776	0	0.0370998
9.59184	0	-0.156607
9.79592	0	-0.350314
10	0	-0.544021

0	0.244898	0.0244898
0.204082	0.244898	0.165975
0.408163	0.244898	0.30746
0.612245	0.244898	0.448945
0.816327	0.244898	0.59043
1.02041	0.244898	0.731915
1.22449	0.244898	0.785941
1.42857	0.244898	0.77
1.63265	0.244898	0.754059
1.83673	0.244898	0.738118
2.04082	0.244898	0.722178
2.2449	0.244898	0.690716
2.44898	0.244898	0.535086
2.65306	0.244898	0.379456
2.85714	0.244898	0.223826
3.06122	0.244898	0.0681967
3.26531	0.244898	-0.0874331
3.46939	0.244898	-0.220746
3.67347	0.244898	-0.342901
3.87755	0.244898	-0.465055
4.08163	0.244898	-0.587209
4.28571	0.244898	-0.709364
4.4898	0.244898	-0.793876
4.69388	0.244898	-0.746637
4.89796	0.244898	-0.699399
5.10204	0.244898	-0.652161
5.30612	0.244898	-0.604923
5.5102	0.244898	-0.557685
5.71429	0.244898	-0.419577
5.91837	0.244898	-0.255506
6.12245	0.244898	-0.0914359
6.32653	0.244898	0.0726345
6.53061	0.244898	0.236705
6.73469	0.244898	0.378868
6.93878	0.244898	0.477214
7.14286	0.244898	0.575561
7.34694	0.244898	0.673908
7.55102	0.244898	0.772255
7.7551	0.244898	0.870601
7.95918	0.244898	0.813258
8.16327	0.244898	0.736454
8.36735	0.244898	0.65965
8.57143	0.244898	0.582846
8.77551	0.244898	0.506041
8.97959	0.244898	0.389374
9.18367	0.244898	0.222876
9.38776	0.244898	0.0563783
9.59184	0.244898	-0.110119
9.79592	0.244898	-0.276617
10	0.244898	-0.443115

0	0.489796	0.0489796
0.204082	0.489796	0.167343
0.408163	0.489796	0.285706
0.612245	0.489796	0.404069
0.816327	0.489796	0.522433
