x	 y 	 value
0	0	0
0	0.244898	0.0244898
0	0.489796	0.0489796
0	0.734694	0.0734694
0	0.979592	0.0979592
0	1.22449	0.122449
0	1.46939	0.146939
0	1.71429	0.171429
0	1.95918	0.195918
0	2.20408	0.220408
0	2.44898	0.244898
0	2.69388	0.269388
0	2.93878	0.293878
0	3.18367	0.318367
0	3.42857	0.342857
0	3.67347	0.367347
0	3.91837	0.391837
0	4.16327	0.416327
0	4.40816	0.440816
0	4.65306	0.465306
0	4.89796	0.489796
0	5.14286	0.514286
0	5.38776	0.538776
0	5.63265	0.563265
0	5.87755	0.587755
0	6.12245	0.612245
0	6.36735	0.636735
0	6.61224	0.661224
0	6.85714	0.685714
0	7.10204	0.710204
0	7.34694	0.734694
0	7.59184	0.759184
0	7.83673	0.783673
0	8.08163	0.808163
0	8.32653	0.832653
0	8.57143	0.857143
0	8.81633	0.881633
0	9.06122	0.906122
0	9.30612	0.930612
0	9.55102	0.955102
0	9.79592	0.979592
0	10.0408	1.00408
0	10.2857	1.02857
0	10.5306	1.05306
0	10.7755	1.07755
0	11.0204	1.10204
0	11.2653	1.12653
0	11.5102	1.15102
0	11.7551	1.17551
0	12	1.2
0.204082	0	0.202668
0.204082	0.244898	0.221111
0.204082	0.489796	0.22782
0.204082	0.734694	0.223856
0.204082	0.979592	0.210918
0.204082	1.22449	0.19124
0.204082	1.46939	0.167456
0.204082	1.71429	0.142448
0.204082	1.95918	0.119169
0.204082	2.20408	0.10047
0.204082	2.44898	0.0889288
0.204082	2.69388	0.0866951
0.204082	2.93878	0.0953637
0.204082	3.18367	0.115879
0.204082	3.42857	0.148478
0.204082	3.67347	0.192676
0.204082	3.91837	0.247298
0.204082	4.16327	0.310546
0.204082	4.40816	0.380106
0.204082	4.65306	0.453289
0.204082	4.89796	0.52719
0.204082	5.14286	0.598858
0.204082	5.38776	0.66548
0.204082	5.63265	0.724541
0.204082	5.87755	0.773977
0.204082	6.12245	0.8123
0.204082	6.36735	0.838685
0.204082	6.61224	0.853019
0.204082	6.85714	0.855906
0.204082	7.10204	0.848638
0.204082	7.34694	0.833108
0.204082	7.59184	0.811706
0.204082	7.83673	0.787169
0.204082	8.08163	0.762423
0.204082	8.32653	0.740407
0.204082	8.57143	0.723896
0.204082	8.81633	0.715337
0.204082	9.06122	0.716701
0.204082	9.30612	0.729369
0.204082	9.55102	0.754047
0.204082	9.79592	0.790723
0.204082	10.0408	0.838669
0.204082	10.2857	0.896487
0.204082	10.5306	0.962187
0.204082	10.7755	1.03331
0.204082	11.0204	1.10707
0.204082	11.2653	1.18054
0.204082	11.5102	1.25078
0.204082	11.7551	1.31506
0.204082	12	1.37102
0.408163	0	0.396924
0.408163	0.244898	0.409571
0.408163	0.489796	0.399237
0.408163	0.734694	0.368001
0.408163	0.979592	0.319189
0.408163	1.22449	0.257175
0.408163	1.46939	0.187121
0.408163	1.71429	0.114669
0.408163	1.95918	0.0456046
0.408163	2.20408	-0.01449
0.408163	2.44898	-0.060567
0.408163	2.69388	-0.088415
0.408163	2.93878	-0.0949108
0.408163	3.18367	-0.0782054
0.408163	3.42857	-0.0378342
0.408163	3.67347	0.0252552
0.408163	3.91837	0.108759
0.408163	4.16327	0.209156
0.408163	4.40816	0.321916
0.408163	4.65306	0.441771
0.408163	4.89796	0.563031
0.408163	5.14286	0.679921
0.408163	5.38776	0.786926
0.408163	5.63265	0.879122
0.408163	5.87755	0.95247
0.408163	6.12245	1.00405
0.408163	6.36735	1.03225
0.408163	6.61224	1.03685
0.408163	6.85714	1.01903
0.408163	7.10204	0.981326
0.408163	7.34694	0.927438
0.408163	7.59184	0.862048
0.408163	7.83673	0.790519
0.408163	8.08163	0.718582
0.408163	8.32653	0.65199
0.408163	8.57143	0.59618
0.408163	8.81633	0.555943
0.408163	9.06122	0.535142
0.408163	9.30612	0.536479
0.408163	9.55102	0.561337
0.408163	9.79592	0.609693
0.408163	10.0408	0.680122
0.408163	10.2857	0.769885
0.408163	10.5306	0.875085
0.408163	10.7755	0.990906
0.408163	11.0204	1.1119
0.408163	11.2653	1.2323
0.408163	11.5102	1.34639
0.408163	11.7551	1.44882
0.408163	12	1.53495
0.612245	0	0.574706
0.612245	0.244898	0.582048
0.612245	0.489796	0.556117
