x	 y 	 value
0	1	0.01
0.01	1.0001	0.0099995
0.03	1.0003	0.0099955
0.07	1.0007	0.0099755
0.135267	1.00135	0.0099086
0.22391	1.00222	0.00975008
0.331268	1.00326	0.00945533
0.452307	1.00438	0.00899195
0.5828	1.00551	0.00834426
0.719609	1.0066	0.00751197
0.860552	1.0076	0.00650673
1.00417	1.00845	0.00534869
1.14952	1.00914	0.00406371
1.29597	1.00964	0.00268149
1.44314	1.00993	0.00123415
1.59076	1.01	-0.000244829
1.73867	1.00986	-0.00172146
1.88674	1.00949	-0.00316204
2.03491	1.00892	-0.00453393
2.18312	1.00815	-0.00580619
2.33132	1.0072	-0.00695035
2.47949	1.00609	-0.00794092
2.62759	1.00485	-0.00875601
2.77561	1.0035	-0.0093778
2.92354	1.00207	-0.00979287
3.07135	1.0006	-0.00999246
3.21904	0.999122	-0.00997267
3.3666	0.99766	-0.00973446
3.51403	0.99625	-0.0092836
3.66133	0.994923	-0.00863048
3.8085	0.993708	-0.00778983
3.95555	0.99263	-0.00678036
4.10248	0.991714	-0.00562434
4.24931	0.990977	-0.00434707
4.39604	0.990436	-0.00297633
4.54269	0.990103	-0.00154179
4.68928	0.989983	-7.43869e-05
4.83583	0.99008	0.00139434
4.98235	0.990391	0.00283287
5.12886	0.990909	0.00421035
5.27538	0.991623	0.00549721
5.42193	0.992519	0.00666578
5.56852	0.993576	0.00769086
5.71518	0.994773	0.00855022
5.86191	0.996084	0.0092251
6.00874	0.997481	0.0097006
6.15567	0.998933	0.00996601
6.3027	1.00041	0.0100151
6.44985	1.00188	0.0098463
6.59712	1.00331	0.00946272
6.74452	1.00467	0.00887217
6.89203	1.00593	0.00808707
7.03965	1.00706	0.00712413
7.18738	1.00803	0.00600413
7.3352	1.00883	0.00475137
7.48311	1.00944	0.00339327
7.6311	1.00984	0.00195966
7.77913	1.01002	0.000482165
7.92721	1.00998	-0.00100651
8.0753	1.00972	-0.00247338
8.2234	1.00925	-0.00388591
8.37148	1.00857	-0.00521276
8.51953	1.00771	-0.00642456
8.66752	1.00667	-0.00749458
8.81544	1.00549	-0.00839929
8.96328	1.00419	-0.00911895
9.11102	1.00279	-0.00963803
9.25865	1.00134	-0.0099455
9.40616	0.999859	-0.0100351
9.55355	0.998382	-0.00990533
9.7008	0.996941	-0.00955964
9.84792	0.995567	-0.00900609
9.99491	0.994291	-0.00825724
10	0.994249	-0.00822807
