x	 y 	 value
0.1	3	-1
0.110656	2.9885	-1.15841
0.120915	2.97583	-1.31013
0.13092	2.96199	-1.45728
0.140758	2.94694	-1.60112
0.15048	2.93069	-1.74238
0.160121	2.91322	-1.88149
0.169699	2.89453	-2.01871
0.179228	2.87465	-2.15418
0.188717	2.85357	-2.28796
0.198169	2.83132	-2.4201
0.20759	2.8079	-2.55059
0.216982	2.78334	-2.67942
0.226347	2.75765	-2.80659
0.235686	2.73085	-2.93207
0.245	2.70296	-3.05582
0.254291	2.674	-3.17783
0.26356	2.64398	-3.29808
0.272808	2.61293	-3.41652
0.282035	2.58086	-3.53314
0.291243	2.5478	-3.6479
0.300432	2.51375	-3.76079
0.309604	2.47875	-3.87178
0.318759	2.4428	-3.98083
0.327897	2.40593	-4.08793
0.33702	2.36815	-4.19305
0.346128	2.32949	-4.29616
0.355223	2.28995	-4.39725
0.364304	2.24957	-4.49628
0.373372	2.20835	-4.59323
0.382428	2.16632	-4.68808
0.391473	2.12349	-4.78081
0.400507	2.07989	-4.87139
0.409531	2.03552	-4.95981
0.418545	1.99042	-5.04603
0.42755	1.9446	-5.13004
0.436546	1.89808	-5.21182
0.445533	1.85088	-5.29134
0.454513	1.80301	-5.36859
0.463486	1.7545	-5.44355
0.472451	1.70536	-5.51619
0.48141	1.65562	-5.5865
0.490363	1.6053	-5.65446
0.49931	1.55441	-5.72006
0.508252	1.50297	-5.78327
0.517189	1.45101	-5.84408
0.526122	1.39854	-5.90247
0.53505	1.34559	-5.95843
0.543974	1.29217	-6.01194
0.552895	1.23831	-6.06299
0.561812	1.18402	-6.11157
0.570726	1.12933	-6.15766
0.579638	1.07425	-6.20125
0.588547	1.01882	-6.24233
0.597454	0.963037	-6.28089
0.60636	0.906938	-6.31691
0.615263	0.850538	-6.3504
0.624166	0.793859	-6.38133
0.633068	0.736923	-6.40971
0.641969	0.67975	-6.43552
0.650869	0.622361	-6.45876
0.65977	0.564779	-6.47941
0.66867	0.507023	-6.49749
0.677571	0.449116	-6.51298
0.686472	0.391079	-6.52587
0.695374	0.332933	-6.53617
0.704277	0.2747	-6.54387
0.713182	0.216401	-6.54898
0.722088	0.158058	-6.55148
0.730996	0.0996917	-6.55138
0.739906	0.0413246	-6.54869
0.748819	-0.0170222	-6.54339
0.757734	-0.0753271	-6.5355
0.766651	-0.133569	-6.52502
0.775572	-0.191725	-6.51195
0.784497	-0.249775	-6.49629
0.793424	-0.307698	-6.47806
0.802356	-0.365471	-6.45725
0.811292	-0.423073	-6.43387
0.820232	-0.480483	-6.40793
0.829177	-0.537679	-6.37944
0.838127	-0.594641	-6.34841
0.847082	-0.651346	-6.31484
0.856042	-0.707774	-6.27874
0.865009	-0.763904	-6.24014
0.873981	-0.819714	-6.19903
0.88296	-0.875183	-6.15544
0.891945	-0.930291	-6.10936
0.900938	-0.985016	-6.06083
0.909937	-1.03934	-6.00984
0.918945	-1.09324	-5.95643
0.92796	-1.14669	-5.90059
0.936984	-1.19968	-5.84236
0.946016	-1.25218	-5.78173
0.955057	-1.30417	-5.71875
0.964108	-1.35564	-5.65341
0.973169	-1.40656	-5.58574
0.982239	-1.45692	-5.51577
0.991321	-1.50668	-5.4435
1.00041	-1.55584	-5.36896
1.00952	-1.60438	-5.29218
1.01863	-1.65226	-5.21316
1.02776	-1.69948	-5.13195
1.0369	-1.74601	-5.04855
1.04605	-1.79184	-4.963
1.05522	-1.83694	-4.87531
1.0644	-1.8813	-4.78551
1.0736	-1.92489	-4.69363
1.08281	-1.9677	-4.59969
1.09204	-2.00971	-4.50373
1.10129	-2.0509	-4.40575
1.11055	-2.09124	-4.3058
1.11983	-2.13072	-4.20391
1.12912	-2.16933	-4.10009
1.13844	-2.20704	-3.99438
1.14777	-2.24383	-3.88682
1.15713	-2.27968	-3.77742
1.16651	-2.31458	-3.66623
1.1759	-2.34851	-3.55327
1.18532	-2.38144	-3.43858
1.19476	-2.41336	-3.3222
1.20423	-2.44425	-3.20415
1.21372	-2.47409	-3.08448
1.22323	-2.50286	-2.96323
1.23277	-2.53054	-2.84043
1.24233	-2.55711	-2.71612
1.25192	-2.58255	-2.59036
1.26153	-2.60685	-2.46318
1.27118	-2.62998	-2.33464
1.28084	-2.65192	-2.20478
1.29053	-2.67266	-2.07367
1.30025	-2.69217	-1.94135
1.31	-2.71044	-1.8079
1.31977	-2.72745	-1.67337
1.32956	-2.74317	-1.53784
1.33938	-2.7576	-1.40139
1.34921	-2.77071	-1.2641
1.35907	-2.7825	-1.12604
1.36895	-2.79293	-0.987326
1.37884	-2.80201	-0.848041
1.38875	-2.80972	-0.70829
1.39866	-2.81605	-0.56818
1.40858	-2.82099	-0.427823
1.41851	-2.82454	-0.287331
1.42844	-2.8267	-0.146822
1.43837	-2.82746	-0.00641158
1.44829	-2.82682	0.133782
1.4582	-2.8248	0.273643
1.4681	-2.82141	0.413059
1.47798	-2.81664	0.551919
1.48785	-2.81051	0.690118
1.4977	-2.80303	0.827558
1.50752	-2.79423	0.964143
1.51732	-2.78412	1.09979
1.52709	-2.77272	1.2344
1.53683	-2.76004	1.36792
1.54655	-2.7461	1.50028
1.55623	-2.73093	1.6314
1.56589	-2.71455	1.76123
1.57551	-2.69698	1.88972
1.58511	-2.67823	2.01682
1.59468	-2.65833	2.14249
1.60422	-2.6373	2.26668
1.61373	-2.61516	2.38936
1.62321	-2.59192	2.51048
1.63266	-2.56762	2.63003
1.64209	-2.54226	2.74796
1.6515	-2.51587	2.86425
1.66088	-2.48846	2.97886
1.67023	-2.46006	3.09178
1.67957	-2.43068	3.20297
1.68888	-2.40035	3.31241
1.69817	-2.36907	3.42007
1.70744	-2.33687	3.52593
1.71669	-2.30376	3.62996
1.72592	-2.26977	3.73214
1.73514	-2.23491	3.83245
1.74434	-2.1992	3.93087
1.75352	-2.16265	4.02737
1.76269	-2.12529	4.12192
1.77184	-2.08713	4.21452
1.78098	-2.04819	4.30513
1.79011	-2.00849	4.39373
1.79923	-1.96804	4.48031
1.80833	-1.92687	4.56484
1.81742	-1.88498	4.64731
1.8265	-1.84241	4.72768
1.83557	-1.79916	4.80595
1.84464	-1.75526	4.8821
1.85369	-1.71072	4.9561
1.86273	-1.66557	5.02793
1.87177	-1.61981	5.09759
1.8808	-1.57347	5.16504
1.88982	-1.52658	5.23028
1.89884	-1.47913	5.29329
1.90785	-1.43116	5.35405
1.91685	-1.38269	5.41255
1.92585	-1.33373	5.46876
1.93484	-1.2843	5.52269
1.94383	-1.23442	5.57431
1.95282	-1.18411	5.6236
1.9618	-1.13339	5.67057
1.97077	-1.08228	5.71518
1.97975	-1.0308	5.75745
1.98872	-0.97897	5.79734
1.99769	-0.926805	5.83485
2.00665	-0.874328	5.86998
2.01562	-0.821558	5.90271
2.02458	-0.768516	5.93304
2.03354	-0.71522	5.96095
2.0425	-0.661692	5.98644
2.05146	-0.607951	6.00951
2.06042	-0.554017	6.03014
2.06937	-0.499911	6.04833
2.07833	-0.445652	6.06409
2.08729	-0.391261	6.07739
2.09625	-0.336759	6.08825
2.10521	-0.282164	6.09666
2.11417	-0.227499	6.10261
2.12313	-0.172782	6.10611
2.1321	-0.118035	6.10715
2.14106	-0.0632774	6.10574
2.15003	-0.00853002	6.10187
2.159	0.0461869	6.09556
2.16798	0.100853	6.08679
2.17695	0.155448	6.07558
2.18593	0.209951	6.06192
2.19492	0.264343	6.04583
2.20391	0.318602	6.0273
2.2129	0.372709	6.00635
2.22189	0.426644	5.98298
2.23089	0.480385	5.95719
2.2399	0.533914	5.929
2.24891	0.587209	5.89841
2.25793	0.640251	5.86543
2.26695	0.693019	5.83008
2.27598	0.745494	5.79235
2.28502	0.797656	5.75228
2.29406	0.849484	5.70985
2.30311	0.90096	5.6651
2.31217	0.952062	5.61803
2.32123	1.00277	5.56865
2.3303	1.05307	5.51698
2.33939	1.10294	5.46303
2.34848	1.15235	5.40683
2.35758	1.2013	5.34838
2.36669	1.24975	5.2877
2.37581	1.2977	5.22481
2.38494	1.34511	5.15973
2.39408	1.39198	5.09248
2.40324	1.43829	5.02307
2.4124	1.48401	4.95153
2.42158	1.52912	4.87787
2.43077	1.57361	4.80212
2.43998	1.61746	4.72429
2.4492	1.66065	4.64441
2.45843	1.70316	4.56251
2.46768	1.74497	4.4786
2.47694	1.78606	4.3927
2.48622	1.82642	4.30484
2.49552	1.86603	4.21505
2.50483	1.90487	4.12335
2.51417	1.94292	4.02977
2.52352	1.98016	3.93432
2.53289	2.01657	3.83704
2.54228	2.05214	3.73796
2.55169	2.08684	3.6371
2.56112	2.12067	3.5345
2.57057	2.1536	3.43017
2.58005	2.1856	3.32415
2.58955	2.21667	3.21648
2.59907	2.24679	3.10718
2.60862	2.27594	2.99628
2.6182	2.30409	2.88383
2.6278	2.33123	2.76985
2.63742	2.35734	2.65438
2.64708	2.3824	2.53747
2.65676	2.4064	2.41915
2.66647	2.42931	2.29947
2.67621	2.45111	2.17847
2.68597	2.47179	2.0562
2.69577	2.49133	1.93271
2.70559	2.5097	1.80806
2.71544	2.52689	1.68231
2.72531	2.54288	1.55552
2.73522	2.55766	1.42775
2.74514	2.57119	1.29909
2.7551	2.58348	1.1696
2.76507	2.59449	1.03938
2.77506	2.60423	0.908517
2.78507	2.61267	0.777097
2.7951	2.6198	0.645226
2.80513	2.62561	0.513007
2.81518	2.6301	0.38055
2.82523	2.63326	0.247966
2.83528	2.63508	0.115369
2.84533	2.63558	-0.0171237
2.85538	2.63474	-0.149398
2.86541	2.63258	-0.28134
2.87543	2.6291	-0.412837
2.88544	2.62431	-0.543783
2.89543	2.61823	-0.674074
2.90539	2.61087	-0.803611
2.91533	2.60224	-0.932305
2.92524	2.59236	-1.06007
2.93513	2.58125	-1.18682
2.94498	2.56894	-1.3125
2.95481	2.55543	-1.43702
2.9646	2.54075	-1.56034
2.97436	2.52492	-1.6824
2.98409	2.50796	-1.80314
2.99379	2.48989	-1.92252
3.00346	2.47074	-2.0405
3.01309	2.45051	-2.15705
3.0227	2.42923	-2.27212
3.03227	2.40693	-2.38568
3.04182	2.38361	-2.4977
3.05134	2.35931	-2.60816
3.06083	2.33403	-2.71703
3.0703	2.3078	-2.82427
3.07974	2.28063	-2.92987
3.08916	2.25255	-3.0338
3.09855	2.22356	-3.13604
3.10793	2.1937	-3.23656
3.11728	2.16297	-3.33535
3.12661	2.13139	-3.43237
3.13592	2.09898	-3.52762
3.14521	2.06576	-3.62106
3.15449	2.03175	-3.71268
3.16375	1.99696	-3.80246
3.17299	1.9614	-3.89037
3.18221	1.92511	-3.97641
3.19143	1.88808	-4.06054
3.20063	1.85035	-4.14274
3.20981	1.81192	-4.22301
3.21898	1.77282	-4.30131
3.22815	1.73306	-4.37764
3.2373	1.69266	-4.45197
3.24644	1.65164	-4.52429
3.25556	1.61001	-4.59458
3.26468	1.56779	-4.66282
3.2738	1.525	-4.72899
3.2829	1.48166	-4.79309
3.29199	1.43778	-4.85508
3.30108	1.39338	-4.91497
3.31016	1.34849	-4.97273
3.31923	1.30311	-5.02835
3.3283	1.25727	-5.08181
3.33736	1.21098	-5.1331
3.34642	1.16426	-5.18221
3.35547	1.11714	-5.22913
3.36452	1.06962	-5.27385
3.37356	1.02173	-5.31634
3.3826	0.973491	-5.35661
3.39164	0.924913	-5.39464
3.40067	0.876017	-5.43042
3.4097	0.826823	-5.46395
3.41873	0.77735	-5.49521
3.42775	0.727616	-5.5242
3.43678	0.677641	-5.55091
3.4458	0.627442	-5.57533
3.45482	0.57704	-5.59745
3.46384	0.526452	-5.61728
3.47286	0.475699	-5.63481
3.48188	0.424799	-5.65003
3.4909	0.373772	-5.66293
3.49992	0.322636	-5.67353
3.50894	0.271411	-5.6818
3.51797	0.220116	-5.68776
3.52699	0.16877	-5.6914
3.53602	0.117393	-5.69272
3.54504	0.066003	-5.69172
3.55407	0.0146206	-5.6884
3.5631	-0.0367355	-5.68276
3.57214	-0.0880461	-5.67481
3.58118	-0.139292	-5.66455
3.59022	-0.190453	-5.65198
3.59926	-0.241511	-5.63711
3.60831	-0.292447	-5.61993
3.61736	-0.343241	-5.60046
3.62642	-0.393873	-5.57871
3.63548	-0.444326	-5.55467
3.64455	-0.49458	-5.52836
3.65362	-0.544615	-5.49978
3.6627	-0.594412	-5.46894
3.67179	-0.643954	-5.43586
3.68088	-0.69322	-5.40054
3.68998	-0.742191	-5.36298
3.69908	-0.79085	-5.32322
3.7082	-0.839177	-5.28124
3.71732	-0.887153	-5.23707
3.72645	-0.93476	-5.19072
3.73559	-0.981979	-5.1422
3.74474	-1.02879	-5.09153
3.75389	-1.07518	-5.03872
3.76306	-1.12112	-4.98379
3.77224	-1.16661	-4.92674
3.78143	-1.21161	-4.86761
3.79063	-1.25611	-4.80639
3.79984	-1.3001	-4.74312
3.80906	-1.34355	-4.67781
3.8183	-1.38645	-4.61047
3.82755	-1.42878	-4.54113
3.83681	-1.47052	-4.4698
3.84609	-1.51166	-4.39651
3.85538	-1.55217	-4.32127
3.86469	-1.59204	-4.24411
3.87401	-1.63125	-4.16504
3.88336	-1.66978	-4.08409
3.89271	-1.70762	-4.00128
3.90209	-1.74474	-3.91664
