x	 y 	 value
0	1	-0.5
0.05	0.975	-0.499375
0.104049	0.948046	-0.497294
0.160623	0.919995	-0.493559
0.218649	0.89149	-0.488086
0.2774	0.863002	-0.480869
0.336399	0.83487	-0.471949
0.395337	0.807341	-0.461397
0.454017	0.780598	-0.449297
0.512313	0.754778	-0.435743
0.570147	0.729988	-0.420832
0.627471	0.706308	-0.404663
0.684255	0.683803	-0.387334
0.740484	0.662523	-0.368942
0.796152	0.642508	-0.349583
0.851261	0.623786	-0.329352
0.905814	0.606378	-0.308338
0.959824	0.590299	-0.286629
1.0133	0.575556	-0.264309
1.06627	0.562153	-0.241457
1.11874	0.550086	-0.21815
1.17074	0.539349	-0.194458
1.22231	0.529935	-0.170447
1.27346	0.521831	-0.146179
1.32423	0.515025	-0.121711
1.37467	0.509503	-0.0970951
1.42481	0.505251	-0.0723786
1.4747	0.502256	-0.047606
1.52439	0.500505	-0.0228178
1.57391	0.499988	0.00194816
1.62333	0.500695	0.0266562
1.6727	0.502619	0.0512719
1.72206	0.505756	0.0757612
1.77147	0.510102	0.10009
1.82098	0.515658	0.124222
1.87064	0.522424	0.14812
1.92049	0.530402	0.171745
1.97058	0.539594	0.195053
2.02096	0.550004	0.217997
2.07165	0.561633	0.240528
2.1227	0.574482	0.262592
2.17413	0.588551	0.28413
2.22598	0.603835	0.305082
2.27827	0.62033	0.32538
2.33102	0.638023	0.344956
2.38426	0.656901	0.363739
2.438	0.676945	0.381653
2.49226	0.698129	0.39862
2.54705	0.720423	0.414561
2.60239	0.74379	0.429396
2.65827	0.768186	0.443044
2.71471	0.79356	0.455421
2.77171	0.819855	0.466449
2.82928	0.847005	0.476046
2.88741	0.874937	0.484136
2.9461	0.90357	0.490643
3.00537	0.932815	0.495496
3.06519	0.962576	0.498628
3.12556	0.992749	0.499979
3.18649	1.02322	0.499493
3.24795	1.05388	0.497122
3.30995	1.0846	0.492826
3.37247	1.11524	0.486574
3.4355	1.14568	0.478343
3.49902	1.17578	0.468123
3.56303	1.20538	0.455913
3.62751	1.23435	0.441723
3.69244	1.26254	0.425577
3.7578	1.28979	0.407508
3.82357	1.31597	0.387566
3.88974	1.34092	0.36581
3.95629	1.36451	0.342313
4.02318	1.38659	0.317163
4.09041	1.40704	0.290457
4.15794	1.42573	0.262306
4.22576	1.44254	0.232833
4.29383	1.45736	0.20217
4.36213	1.4701	0.170459
4.43063	1.48068	0.137854
4.49932	1.48901	0.104515
4.56815	1.49505	0.070607
4.63711	1.49874	0.0363034
4.70615	1.50006	0.00178014
4.77526	1.49899	-0.032784
4.84441	1.49553	-0.067209
4.91356	1.48969	-0.101315
4.98269	1.48152	-0.134926
5.05177	1.47105	-0.167866
5.12077	1.45835	-0.199966
5.18965	1.44348	-0.231065
5.25839	1.42655	-0.261006
5.32697	1.40765	-0.289643
5.39535	1.38689	-0.31684
5.4635	1.3644	-0.342473
5.5314	1.34031	-0.366427
5.59903	1.31475	-0.388601
5.66635	1.28788	-0.408909
5.73334	1.25984	-0.427276
5.79997	1.23079	-0.443642
5.86623	1.20089	-0.457959
5.93208	1.17029	-0.470196
5.99751	1.13916	-0.480332
6.0625	1.10765	-0.488362
6.12703	1.07592	-0.494292
6.19108	1.0441	-0.49814
6.25463	1.01236	-0.499937
6.31766	0.980819	-0.499722
6.38017	0.949621	-0.497547
6.44213	0.918887	-0.49347
6.50354	0.888735	-0.487559
6.56439	0.859275	-0.479886
6.62467	0.830605	-0.470532
6.68436	0.802818	-0.459581
6.74347	0.775997	-0.447123
6.80199	0.750214	-0.433248
6.85992	0.725535	-0.418051
6.91726	0.702015	-0.401626
6.97401	0.679703	-0.384069
7.03018	0.658637	-0.365473
7.08576	0.638849	-0.345934
7.14078	0.620364	-0.325541
7.19524	0.603199	-0.304386
7.24914	0.587367	-0.282552
7.30252	0.572872	-0.260124
7.35539	0.559717	-0.23718
7.40777	0.547899	-0.213794
7.45968	0.537409	-0.190036
7.51115	0.52824	-0.165972
7.56223	0.520378	-0.141661
7.61293	0.513812	-0.117161
7.6633	0.508527	-0.0925219
7.71339	0.50451	-0.0677912
7.76323	0.501747	-0.0430121
7.81287	0.500225	-0.0182247
7.86236	0.499935	0.00653376
7.91176	0.500868	0.0312278
7.96111	0.503017	0.0558231
8.01047	0.506378	0.0802858
8.05989	0.510948	0.104581
8.10941	0.516728	0.128674
8.1591	0.523717	0.152525
8.20898	0.531919	0.176096
8.25912	0.541335	0.199341
8.30954	0.551969	0.222214
8.36029	0.563823	0.244664
8.41139	0.576897	0.266636
8.46289	0.591189	0.288073
8.51481	0.606697	0.30891
8.56718	0.623413	0.329082
8.62001	0.641325	0.348519
8.67334	0.660419	0.36715
8.72717	0.680675	0.384897
8.78152	0.702065	0.401684
8.8364	0.724559	0.41743
8.89182	0.748118	0.432055
8.9478	0.772698	0.445478
9.00433	0.798247	0.457617
9.06143	0.824704	0.46839
9.11909	0.852004	0.477719
9.17732	0.880071	0.485527
9.23611	0.908824	0.491739
9.29547	0.938172	0.496284
9.35539	0.968018	0.499098
9.41586	0.998257	0.50012
9.47687	1.02878	0.499295
9.53843	1.05946	0.496578
9.60051	1.09017	0.491929
9.66312	1.12079	0.48532
9.72623	1.15118	0.47673
9.78984	1.1812	0.466149
9.85393	1.2107	0.453579
