x	 y 	 value
0.1	3	-1
0.110844	2.98827	-1.16236
0.121287	2.97532	-1.31809
0.131482	2.96111	-1.46941
0.141517	2.94562	-1.61761
0.151445	2.92883	-1.76344
0.161301	2.91074	-1.90733
0.171102	2.89135	-2.04952
0.180861	2.87066	-2.19011
0.190584	2.84869	-2.32915
0.200276	2.82544	-2.46666
0.20994	2.80095	-2.6026
0.219576	2.77522	-2.73695
0.229186	2.74828	-2.86966
0.238769	2.72014	-3.00069
0.248327	2.69084	-3.13001
0.25786	2.66039	-3.25755
0.267369	2.62882	-3.3833
0.276852	2.59614	-3.50719
0.286312	2.56238	-3.6292
0.295748	2.52756	-3.74929
0.305162	2.49171	-3.86742
0.314552	2.45484	-3.98356
0.323921	2.41698	-4.09769
0.333269	2.37815	-4.20976
0.342596	2.33837	-4.31975
0.351903	2.29766	-4.42762
0.36119	2.25604	-4.53337
0.370459	2.21354	-4.63694
0.379709	2.17017	-4.73833
0.388942	2.12596	-4.83751
0.398158	2.08093	-4.93444
0.407357	2.0351	-5.02911
0.41654	1.98848	-5.1215
0.425708	1.94111	-5.21157
0.434862	1.893	-5.29932
0.444001	1.84417	-5.38472
0.453127	1.79465	-5.46774
0.462239	1.74445	-5.54838
0.471339	1.6936	-5.6266
0.480427	1.64212	-5.70239
0.489503	1.59003	-5.77574
0.498567	1.53735	-5.84662
0.507621	1.4841	-5.91501
0.516665	1.4303	-5.98091
0.525699	1.37598	-6.0443
0.534723	1.32116	-6.10515
0.543737	1.26585	-6.16346
0.552744	1.21008	-6.21921
0.561741	1.15388	-6.27239
0.570731	1.09726	-6.32299
0.579713	1.04025	-6.37099
0.588687	0.982861	-6.41639
0.597655	0.925124	-6.45917
0.606616	0.867058	-6.49932
0.61557	0.808687	-6.53684
0.624519	0.750031	-6.57171
0.633461	0.691112	-6.60393
0.642398	0.631954	-6.6335
0.65133	0.572578	-6.6604
0.660257	0.513006	-6.68463
0.66918	0.453261	-6.70618
0.678098	0.393365	-6.72506
0.687012	0.333339	-6.74126
0.695922	0.273208	-6.75477
0.704829	0.212991	-6.7656
0.713732	0.152713	-6.77374
0.722632	0.0923946	-6.77919
0.73153	0.0320587	-6.78196
0.740425	-0.0282727	-6.78205
0.749317	-0.0885773	-6.77945
0.758208	-0.148833	-6.77417
0.767097	-0.209018	-6.76622
0.775984	-0.269109	-6.75559
0.78487	-0.329085	-6.7423
0.793754	-0.388925	-6.72635
0.802638	-0.448605	-6.70775
0.811522	-0.508104	-6.6865
0.820405	-0.5674	-6.66262
0.829288	-0.626471	-6.6361
0.838171	-0.685297	-6.60697
0.847054	-0.743854	-6.57522
0.855938	-0.802122	-6.54088
0.864823	-0.860079	-6.50396
0.873709	-0.917704	-6.46446
0.882597	-0.974976	-6.42241
0.891486	-1.03187	-6.3778
0.900377	-1.08837	-6.33067
0.90927	-1.14446	-6.28102
0.918166	-1.20011	-6.22888
0.927064	-1.2553	-6.17425
0.935966	-1.31001	-6.11716
0.944871	-1.36422	-6.05762
0.953779	-1.41791	-5.99565
0.962691	-1.47107	-5.93127
0.971608	-1.52366	-5.86451
0.980529	-1.57567	-5.79538
0.989455	-1.62709	-5.72391
0.998386	-1.67789	-5.65011
1.00732	-1.72804	-5.57401
1.01626	-1.77754	-5.49563
1.02521	-1.82637	-5.41499
1.03417	-1.87449	-5.33213
1.04313	-1.92191	-5.24706
1.0521	-1.96858	-5.15981
1.06108	-2.01451	-5.0704
1.07006	-2.05967	-4.97886
1.07906	-2.10403	-4.88523
1.08806	-2.14759	-4.78952
1.09708	-2.19033	-4.69176
1.1061	-2.23222	-4.59198
1.11513	-2.27325	-4.49021
1.12418	-2.3134	-4.38648
1.13324	-2.35265	-4.28081
1.14231	-2.39099	-4.17325
1.15139	-2.4284	-4.06381
1.16048	-2.46486	-3.95252
1.16959	-2.50036	-3.83943
1.17872	-2.53487	-3.72455
1.18786	-2.56839	-3.60793
1.19702	-2.60089	-3.48959
1.20619	-2.63235	-3.36956
1.21538	-2.66276	-3.24788
1.22459	-2.69211	-3.12458
1.23382	-2.72037	-2.9997
1.24307	-2.74753	-2.87327
1.25233	-2.77357	-2.74532
1.26163	-2.79848	-2.61589
1.27094	-2.82223	-2.48502
1.28027	-2.84482	-2.35274
1.28963	-2.86621	-2.2191
1.29902	-2.8864	-2.08413
1.30843	-2.90538	-1.94788
1.31786	-2.92311	-1.81039
1.32732	-2.93958	-1.67171
1.33681	-2.95478	-1.53188
1.34632	-2.96869	-1.39096
1.35587	-2.98128	-1.249
1.36544	-2.99255	-1.10607
1.37503	-3.00248	-0.962217
1.38466	-3.01104	-0.817522
1.39431	-3.01823	-0.672052
1.40398	-3.02403	-0.525888
1.41368	-3.02842	-0.379112
1.4234	-3.03139	-0.231815
1.43314	-3.03293	-0.0840915
1.44291	-3.03303	0.0639572
1.45268	-3.03167	0.212225
1.46248	-3.02887	0.360603
1.47228	-3.02461	0.508976
1.48209	-3.01889	0.657227
1.49191	-3.01171	0.805238
1.50172	-3.00308	0.952891
1.51154	-2.993	1.10007
1.52135	-2.98148	1.24665
1.53116	-2.96854	1.39252
1.54095	-2.95419	1.53758
1.55074	-2.93844	1.68172
1.56051	-2.92131	1.82484
1.57026	-2.90282	1.96683
1.57999	-2.88299	2.10763
1.5897	-2.86184	2.24713
1.59939	-2.8394	2.38526
1.60906	-2.81567	2.52196
1.6187	-2.79069	2.65715
1.62832	-2.76449	2.79078
1.63792	-2.73707	2.92277
1.64749	-2.70847	3.05309
1.65704	-2.6787	3.18168
1.66656	-2.6478	3.30849
1.67606	-2.61578	3.43349
1.68553	-2.58266	3.55663
1.69498	-2.54848	3.67786
1.70441	-2.51324	3.79717
1.71381	-2.47698	3.9145
1.7232	-2.43971	4.02983
1.73256	-2.40145	4.14313
1.74189	-2.36223	4.25436
1.75121	-2.32208	4.36351
1.76051	-2.281	4.47053
1.76979	-2.23902	4.5754
1.77905	-2.19617	4.6781
1.7883	-2.15246	4.7786
1.79752	-2.10791	4.87687
1.80673	-2.06256	4.9729
1.81592	-2.01641	5.06665
1.8251	-1.96948	5.15811
1.83426	-1.92181	5.24725
1.84341	-1.87341	5.33405
1.85255	-1.8243	5.41849
1.86167	-1.7745	5.50056
1.87077	-1.72404	5.58022
1.87987	-1.67293	5.65747
1.88895	-1.6212	5.73228
1.89802	-1.56887	5.80463
1.90708	-1.51595	5.87451
1.91613	-1.46248	5.9419
1.92517	-1.40847	6.00679
1.9342	-1.35394	6.06915
1.94322	-1.29892	6.12898
1.95223	-1.24343	6.18626
1.96124	-1.18748	6.24098
1.97023	-1.13111	6.29312
1.97922	-1.07433	6.34268
1.98819	-1.01716	6.38963
1.99717	-0.95963	6.43397
2.00613	-0.901758	6.47569
2.01509	-0.843566	6.51478
2.02404	-0.785077	6.55124
2.03299	-0.726312	6.58504
2.04193	-0.667294	6.6162
2.05086	-0.608045	6.64469
2.05979	-0.548587	6.67051
2.06872	-0.488943	6.69366
2.07764	-0.429134	6.71414
2.08656	-0.369183	6.73194
2.09547	-0.309112	6.74705
2.10438	-0.248943	6.75948
2.11328	-0.188699	6.76923
2.12218	-0.128401	6.77628
2.13108	-0.0680731	6.78066
2.13998	-0.00773616	6.78234
2.14887	0.0525873	6.78134
2.15776	0.112875	6.77767
2.16665	0.173105	6.77131
2.17554	0.233255	6.76228
2.18443	0.293303	6.75058
2.19331	0.353227	6.73622
2.2022	0.413004	6.7192
2.21108	0.472614	6.69953
2.21997	0.532034	6.67721
2.22885	0.591243	6.65227
2.23773	0.650218	6.62469
2.24662	0.708938	6.59451
2.2555	0.767381	6.56172
2.26438	0.825527	6.52633
2.27327	0.883353	6.48837
2.28216	0.940838	6.44784
2.29104	0.997961	6.40475
2.29993	1.0547	6.35913
2.30883	1.11104	6.31098
2.31772	1.16695	6.26032
2.32662	1.22242	6.20717
2.33552	1.27741	6.15155
2.34442	1.33193	6.09347
2.35332	1.38593	6.03295
2.36223	1.43941	5.97001
2.37115	1.49234	5.90467
2.38007	1.5447	5.83695
2.38899	1.59648	5.76687
2.39792	1.64765	5.69445
2.40685	1.69819	5.61972
2.41579	1.74808	5.5427
2.42473	1.79731	5.46341
2.43369	1.84586	5.38187
2.44264	1.8937	5.29812
2.45161	1.94082	5.21216
2.46058	1.9872	5.12404
2.46956	2.03281	5.03377
2.47855	2.07765	4.94139
2.48755	2.1217	4.84691
2.49656	2.16493	4.75037
2.50558	2.20732	4.65179
2.5146	2.24887	4.55121
2.52364	2.28955	4.44864
2.53269	2.32934	4.34413
2.54176	2.36823	4.2377
2.55083	2.40619	4.12937
2.55992	2.44322	4.01918
2.56902	2.4793	3.90717
2.57813	2.5144	3.79335
2.58727	2.54851	3.67776
2.59641	2.58162	3.56044
2.60558	2.6137	3.44142
2.61476	2.64474	3.32072
2.62395	2.67473	3.19838
2.63317	2.70364	3.07444
2.64241	2.73146	2.94893
2.65166	2.75817	2.82188
2.66094	2.78376	2.69333
2.67024	2.8082	2.56332
2.67956	2.83149	2.43187
2.68891	2.85359	2.29904
2.69828	2.87451	2.16486
2.70767	2.89421	2.02937
2.71709	2.91268	1.89261
2.72653	2.92991	1.75463
2.73601	2.94587	1.61548
2.7455	2.96055	1.47521
2.75503	2.97393	1.33386
2.76458	2.986	1.1915
2.77416	2.99673	1.04819
2.78377	3.00611	0.903992
2.79341	3.01412	0.758975
2.80307	3.02075	0.613216
2.81275	3.02598	0.466794
2.82246	3.0298	0.319796
2.83219	3.03219	0.172315
2.84194	3.03315	0.0244479
2.85171	3.03267	-0.123703
2.86149	3.03073	-0.272029
2.87129	3.02734	-0.420419
2.8811	3.02249	-0.568757
2.89091	3.01618	-0.716926
2.90073	3.00841	-0.864808
2.91054	2.9992	-1.01228
2.92036	2.98854	-1.15923
2.93017	2.97645	-1.30555
2.93997	2.96294	-1.45111
2.94976	2.94802	-1.59581
2.95954	2.93171	-1.73954
2.9693	2.91403	-1.88222
2.97905	2.895	-2.02374
2.98877	2.87464	-2.16402
2.99847	2.85296	-2.30299
3.00816	2.83	-2.44055
3.01781	2.80576	-2.57665
3.02745	2.78029	-2.71121
3.03706	2.75359	-2.84419
3.04665	2.72569	-2.97552
3.05621	2.69662	-3.10514
3.06574	2.66639	-3.23302
3.07526	2.63504	-3.35911
3.08474	2.60257	-3.48336
3.09421	2.56902	-3.60574
3.10365	2.53441	-3.7262
3.11307	2.49875	-3.84471
3.12246	2.46208	-3.96124
3.13183	2.42441	-4.07576
3.14119	2.38577	-4.18823
3.15052	2.34617	-4.29862
3.15983	2.30564	-4.40692
3.16912	2.26419	-4.51307
3.17839	2.22186	-4.61707
3.18764	2.17866	-4.71889
3.19688	2.13461	-4.81849
3.2061	2.08974	-4.91586
3.2153	2.04406	-5.01098
3.22449	1.99759	-5.10381
3.23366	1.95036	-5.19434
3.24282	1.90239	-5.28254
3.25196	1.8537	-5.36839
3.26109	1.80431	-5.45188
3.2702	1.75425	-5.53298
3.2793	1.70352	-5.61167
3.28839	1.65216	-5.68793
3.29747	1.60018	-5.76176
3.30654	1.54761	-5.83311
3.31559	1.49447	-5.90199
3.32464	1.44078	-5.96838
3.33368	1.38656	-6.03225
3.3427	1.33183	-6.0936
3.35172	1.27661	-6.1524
3.36073	1.22094	-6.20865
3.36972	1.16481	-6.26233
3.37872	1.10827	-6.31343
3.3877	1.05133	-6.36194
3.39668	0.994018	-6.40784
3.40564	0.936347	-6.45113
3.41461	0.878343	-6.49179
3.42356	0.820028	-6.52982
3.43251	0.761425	-6.56521
3.44146	0.702556	-6.59794
3.45039	0.643442	-6.62802
3.45933	0.584106	-6.65544
3.46825	0.52457	-6.68019
3.47718	0.464856	-6.70226
3.4861	0.404987	-6.72166
3.49501	0.344985	-6.73838
3.50392	0.284871	-6.75241
3.51283	0.224669	-6.76376
3.52173	0.164401	-6.77242
3.53063	0.104088	-6.77839
3.53953	0.0437537	-6.78168
3.54843	-0.0165807	-6.78229
3.55732	-0.0768926	-6.78021
3.56621	-0.13716	-6.77545
3.5751	-0.19736	-6.76802
3.58399	-0.257472	-6.75791
3.59287	-0.317473	-6.74514
3.60176	-0.377341	-6.7297
3.61064	-0.437054	-6.71161
3.61953	-0.49659	-6.69087
3.62841	-0.555927	-6.6675
3.63729	-0.615044	-6.64149
3.64618	-0.673919	-6.61286
3.65506	-0.732531	-6.58163
3.66394	-0.790857	-6.54779
3.67283	-0.848876	-6.51136
3.68171	-0.906568	-6.47236
3.6906	-0.96391	-6.4308
3.69949	-1.02088	-6.38669
3.70838	-1.07746	-6.34005
3.71727	-1.13363	-6.29089
3.72617	-1.18936	-6.23922
3.73507	-1.24464	-6.18507
3.74397	-1.29945	-6.12846
3.75287	-1.35376	-6.06939
3.76178	-1.40756	-6.00789
3.77069	-1.46082	-5.94398
3.77961	-1.51352	-5.87768
3.78853	-1.56565	-5.80901
3.79745	-1.61718	-5.73798
3.80638	-1.6681	-5.66463
3.81532	-1.71838	-5.58897
3.82426	-1.76801	-5.51103
3.83321	-1.81697	-5.43083
3.84216	-1.86523	-5.3484
3.85112	-1.91279	-5.26375
3.86009	-1.95961	-5.17692
3.86906	-2.00568	-5.08793
3.87805	-2.05099	-4.99681
3.88704	-2.09551	-4.90358
3.89604	-2.13923	-4.80826
3.90506	-2.18212	-4.7109
3.91408	-2.22418	-4.61151
3.92311	-2.26538	-4.51012
3.93215	-2.3057	-4.40677
3.94121	-2.34513	-4.30148
3.95027	-2.38365	-4.19428
3.95935	-2.42124	-4.0852
3.96845	-2.45789	-3.97427
3.97755	-2.49357	-3.86152
3.98668	-2.52828	-3.74699
3.99581	-2.56199	-3.6307
4.00497	-2.59468	-3.51269
4.01414	-2.62635	-3.39298
4.02332	-2.65697	-3.27162
4.03253	-2.68652	-3.14863
4.04175	-2.71499	-3.02405
4.051	-2.74237	-2.89792
4.06026	-2.76863	-2.77026
4.06955	-2.79376	-2.64111
4.07886	-2.81774	-2.51052
4.08819	-2.84055	-2.37851
4.09754	-2.86218	-2.24513
4.10692	-2.8826	-2.11041
4.11633	-2.90181	-1.97441
4.12576	-2.91979	-1.83715
4.13521	-2.93651	-1.69869
4.14469	-2.95195	-1.55908
4.1542	-2.96611	-1.41837
4.16374	-2.97897	-1.27661
4.17331	-2.99049	-1.13386
4.1829	-3.00068	-0.990181
4.19252	-3.00951	-0.845643
4.20216	-3.01697	-0.700317
4.21183	-3.02303	-0.55428
4.22152	-3.0277	-0.407615
4.23124	-3.03094	-0.260411
4.24098	-3.03276	-0.112761
4.25074	-3.03314	0.0352332
4.26051	-3.03207	0.183468
4.2703	-3.02955	0.331834
4.2801	-3.02557	0.480218
4.28991	-3.02013	0.628503
4.29973	-3.01323	0.776571
4.30955	-3.00488	0.924303
4.31936	-2.99508	1.07158
4.32918	-2.98385	1.21829
4.33899	-2.97118	1.36431
4.34878	-2.9571	1.50954
4.35857	-2.94162	1.65386
4.36834	-2.92476	1.79718
4.37809	-2.90653	1.93941
4.38783	-2.88696	2.08044
4.39755	-2.86607	2.2202
4.40724	-2.84387	2.35861
4.41691	-2.82039	2.49559
4.42656	-2.79565	2.63108
4.43619	-2.76968	2.76501
4.44579	-2.7425	2.89733
4.45537	-2.71412	3.02798
4.46492	-2.68458	3.15691
4.47444	-2.6539	3.28407
4.48395	-2.62209	3.40942
4.49342	-2.58919	3.53292
4.50288	-2.55521	3.65453
4.51231	-2.52017	3.77421
4.52172	-2.48411	3.89193
4.5311	-2.44703	4.00765
4.54047	-2.40896	4.12135
4.54981	-2.36993	4.23299
4.55913	-2.32995	4.34254
4.56844	-2.28905	4.44997
4.57772	-2.24725	4.55526
4.58699	-2.20456	4.65839
4.59623	-2.16102	4.75931
4.60546	-2.11663	4.85802
4.61467	-2.07143	4.95449
4.62387	-2.02543	5.04868
4.63305	-1.97866	5.14059
4.64221	-1.93113	5.23018
4.65137	-1.88286	5.31744
4.6605	-1.83389	5.40234
4.66962	-1.78422	5.48487
4.67873	-1.73389	5.565
4.68783	-1.6829	5.64272
4.69692	-1.63129	5.718
4.70599	-1.57907	5.79083
4.71505	-1.52627	5.86119
4.7241	-1.4729	5.92907
4.73315	-1.41899	5.99444
4.74218	-1.36456	6.0573
4.7512	-1.30964	6.11762
4.76021	-1.25423	6.1754
4.76922	-1.19837	6.23061
4.77821	-1.14208	6.28326
4.7872	-1.08538	6.33331
4.79618	-1.02828	6.38077
4.80515	-0.970821	6.42562
4.81412	-0.913013	6.46785
4.82308	-0.854881	6.50745
4.83203	-0.796447	6.54442
4.84098	-0.737734	6.57874
4.84992	-0.678763	6.61041
4.85886	-0.619557	6.63941
4.86779	-0.560138	6.66576
4.87671	-0.500527	6.68943
4.88564	-0.440748	6.71042
4.89455	-0.380822	6.72874
4.90347	-0.320772	6.74438
4.91238	-0.26062	6.75733
4.92128	-0.200389	6.76759
4.93018	-0.1401	6.77517
4.93908	-0.0797751	6.78006
4.94798	-0.0194378	6.78227
4.95688	0.0408904	6.78179
4.96577	0.101187	6.77864
4.97466	0.16143	6.7728
4.98355	0.221598	6.76429
4.99243	0.281668	6.7531
5.00132	0.341618	6.73926
5.0102	0.401426	6.72275
5.01909	0.461071	6.70359
5.02797	0.520529	6.68179
5.03685	0.579781	6.65736
5.04574	0.638803	6.63029
5.05462	0.697575	6.60061
5.0635	0.756074	6.56832
5.07239	0.814279	6.53344
5.08127	0.872169	6.49598
5.09016	0.929723	6.45594
5.09905	0.986918	6.41335
5.10794	1.04374	6.36822
5.11683	1.10015	6.32056
5.12572	1.15615	6.27039
5.13462	1.2117	6.21772
5.14352	1.26679	6.16257
5.15242	1.3214	6.10497
5.16132	1.37551	6.04492
5.17023	1.42909	5.98245
5.17915	1.48213	5.91757
5.18806	1.5346	5.85031
5.19699	1.58649	5.78069
5.20591	1.63778	5.70872
5.21484	1.68845	5.63444
5.22378	1.73847	5.55786
5.23273	1.78783	5.479
5.24168	1.83651	5.3979
5.25063	1.88449	5.31457
5.2596	1.93175	5.22904
5.26857	1.97827	5.14134
5.27755	2.02404	5.05148
5.28654	2.06903	4.95951
5.29553	2.11323	4.86543
5.30454	2.15662	4.76929
5.31355	2.19918	4.6711
5.32258	2.24089	4.57091
5.33162	2.28174	4.46872
5.34066	2.32171	4.36458
5.34972	2.36077	4.25852
5.3588	2.39892	4.15056
5.36788	2.43613	4.04073
5.37698	2.47239	3.92906
5.38609	2.50769	3.81559
5.39522	2.54199	3.70035
5.40436	2.5753	3.58336
5.41352	2.60758	3.46466
5.4227	2.63882	3.34429
5.43189	2.66902	3.22226
5.44111	2.69814	3.09863
5.45034	2.72617	2.97342
5.45959	2.7531	2.84667
5.46887	2.7789	2.7184
5.47816	2.80357	2.58867
5.48748	2.82708	2.4575
5.49682	2.84942	2.32493
5.50618	2.87056	2.19101
5.51557	2.8905	2.05577
5.52499	2.90922	1.91925
5.53443	2.92669	1.78151
5.54389	2.9429	1.64258
5.55339	2.95783	1.50251
5.56291	2.97146	1.36137
5.57246	2.98378	1.2192
5.58203	2.99477	1.07607
5.59163	3.00441	0.932039
5.60126	3.01269	0.787174
5.61092	3.01959	0.641551
5.6206	3.02509	0.49525
5.6303	3.02919	0.348357
5.64003	3.03186	0.200961
5.64977	3.0331	0.05316
5.65954	3.03289	-0.0949449
5.66932	3.03124	-0.243246
5.67911	3.02813	-0.391634
5.68892	3.02356	-0.539992
5.69873	3.01754	-0.688204
5.70855	3.01005	-0.836152
5.71837	3.00112	-0.983716
5.72818	2.99074	-1.13078
5.73799	2.97893	-1.27722
5.7478	2.96569	-1.42294
5.75759	2.95104	-1.56781
5.76737	2.935	-1.71175
5.77714	2.91759	-1.85464
5.78688	2.89882	-1.99639
5.79661	2.87871	-2.13692
5.80632	2.85729	-2.27615
5.81601	2.83457	-2.41399
5.82567	2.81058	-2.55038
5.83531	2.78535	-2.68525
5.84492	2.75888	-2.81854
5.85451	2.73122	-2.95019
5.86408	2.70237	-3.08015
