N	Estimated Area	Estimated Error
1000	0.7867867868	0.0129649342
1100	0.7861692448	0.0123734823
1210	0.7874276261	0.0117713228
1331	0.7872180451	0.0112267080
1464	0.7867395762	0.0107126507
1610	0.7886886265	0.0101805491
1771	0.7870056497	0.0097343969
1948	0.7878787879	0.0092672384
2142	0.7879495563	0.0088361263
2356	0.7876857749	0.0084287431
2591	0.7876447876	0.0080376787
2850	0.7879957880	0.0076588612
3135	0.7874920230	0.0073085379
3448	0.7873513200	0.0069704046
3792	0.7873911897	0.0066460912
4171	0.7880095923	0.0063300612
4588	0.7876607805	0.0060390370
5046	0.7869177403	0.0057656832
5550	0.7869886466	0.0054968943
6105	0.7866972477	0.0052436097
6715	0.7870122133	0.0049970048
7386	0.7865944482	0.0047679583
8124	0.7862858550	0.0045485751
8936	0.7862339116	0.0043373285
9829	0.7862230362	0.0041356412
10811	0.7864014801	0.0039421080
11892	0.7863089732	0.0037592294
13081	0.7864678899	0.0035833136
14389	0.7867667501	0.0034148005
15827	0.7866801466	0.0032564384
17409	0.7867647059	0.0031044882
19149	0.7865051180	0.0029613800
21063	0.7861551610	0.0028252965
23169	0.7860842541	0.0026941454
25485	0.7859833621	0.0025692429
28033	0.7859589041	0.0024497920
30836	0.7859250851	0.0023359230
33919	0.7858364290	0.0022275639
37310	0.7858157549	0.0021239933
41041	0.7857212476	0.0020254682
45145	0.7856858054	0.0019313221
49659	0.7856135970	0.0018416745
54624	0.7855482123	0.0017561737
60086	0.7854040110	0.0016748578
66094	0.7854840906	0.0015967025
72703	0.7854804545	0.0015224076
79973	0.7854999250	0.0014515117
87970	0.7854357785	0.0013841133
96767	0.7854825042	0.0013195944
106443	0.7854606264	0.0012582335
117087	0.7855080881	0.0011995826
128795	0.7854946659	0.0011437854
141674	0.7855413523	0.0010904714
155841	0.7854081109	0.0010399591
171425	0.7854384450	0.0009915109
188567	0.7854438234	0.0009453607
207423	0.7854615229	0.0009013401
228165	0.7854350380	0.0008594328
250981	0.7854211491	0.0008194568
276079	0.7854410710	0.0007812949
303686	0.7854520309	0.0007449225
334054	0.7854172841	0.0007102979
367459	0.7854258174	0.0006772329
404204	0.7854345465	0.0006457073
444624	0.7854114609	0.0006156819
489086	0.7853972213	0.0005870440
537994	0.7854079886	0.0005597145
591793	0.7854060210	0.0005336687
650972	0.7854113317	0.0005088286
716069	0.7854170274	0.0004851443
787675	0.7854201104	0.0004625648
866442	0.7854037378	0.0004410505
953086	0.7853979446	0.0004205293
