N	Estimated Area	Estimated Error
1000	0.7780000000	0.0131487219
1100	0.7790909091	0.0125141690
1210	0.7793388430	0.0119264985
1331	0.7813673929	0.0113333758
1464	0.7834699454	0.0107683237
1610	0.7850931677	0.0102401823
1771	0.7854319593	0.0097577608
1948	0.7838809035	0.0093280022
2142	0.7829131653	0.0089097436
2356	0.7814091681	0.0085164729
2591	0.7846391355	0.0080773424
2850	0.7852631579	0.0076933354
3135	0.7862838915	0.0073224906
3448	0.7845127610	0.0070030970
3792	0.7840189873	0.0066833497
4171	0.7859026612	0.0063521682
4588	0.7857454228	0.0060581722
5046	0.7837891399	0.0057957252
5550	0.7850450450	0.0055145954
6105	0.7846027846	0.0052618408
6715	0.7848101266	0.0050153650
7386	0.7855402112	0.0047761933
8124	0.7852043328	0.0045566521
8936	0.7852506714	0.0043443298
9829	0.7853291281	0.0041417115
10811	0.7850337619	0.0039510857
11892	0.7843928692	0.0037712836
13081	0.7851081722	0.0035914583
14389	0.7848356383	0.0034258971
15827	0.7848613129	0.0032664058
17409	0.7847665001	0.0031149474
19149	0.7851584939	0.0029680831
21063	0.7853582111	0.0028290540
23169	0.7851439423	0.0026983866
25485	0.7850107907	0.0025734299
28033	0.7852174223	0.0024528300
30836	0.7851537164	0.0023389411
33919	0.7849877650	0.0022307346
37310	0.7852586438	0.0021259713
41041	0.7849467606	0.0020281003
45145	0.7850703289	0.0019333142
49659	0.7852554421	0.0018427735
54624	0.7849663152	0.0017578871
60086	0.7848750125	0.0016763421
66094	0.7850636972	0.0015978264
72703	0.7850432582	0.0015235235
79973	0.7850649594	0.0014525712
87970	0.7850630897	0.0013849782
96767	0.7850403547	0.0013205750
106443	0.7850680646	0.0012590635
117087	0.7851939156	0.0012002156
128795	0.7852168174	0.0011443190
141674	0.7852746446	0.0010909602
155841	0.7852490680	0.0010402357
171425	0.7852938603	0.0009917507
188567	0.7852911697	0.0009456025
207423	0.7852889988	0.0009016012
228165	0.7852606666	0.0008596846
250981	0.7852626294	0.0008196751
276079	0.7853368058	0.0007814314
303686	0.7853473654	0.0007450533
334054	0.7853640429	0.0007103609
367459	0.7853284312	0.0006773437
404204	0.7852891114	0.0006458655
444624	0.7853422217	0.0006157534
489086	0.7853404105	0.0005870998
537994	0.7853470485	0.0005597717
591793	0.7853506209	0.0005337183
650972	0.7853701849	0.0005088636
716069	0.7853363293	0.0004852103
787675	0.7853632526	0.0004626090
866442	0.7853497407	0.0004410906
953086	0.7853562008	0.0004205588
