z 	 table erf(z) 	 computed erf(z) 	 absolute error 
0.0000000000	0.0000000000	0.0000000000	0.0000000000
0.0200000000	0.0225645750	0.0225645747	0.0000000003
0.0400000000	0.0451111060	0.0451111059	0.0000000001
0.0600000000	0.0676215940	0.0676215926	0.0000000014
0.0800000000	0.0900781260	0.0900781185	0.0000000075
0.1000000000	0.1124629160	0.1124628937	0.0000000223
0.2000000000	0.2227025890	0.2227019035	0.0000006855
0.3000000000	0.3286267590	0.3286219069	0.0000048521
0.4000000000	0.4283923550	0.4283738940	0.0000184610
0.5000000000	0.5204998780	0.5204508336	0.0000490444
0.6000000000	0.6038560910	0.6038501367	0.0000059543
0.7000000000	0.6778011940	0.6777911543	0.0000100397
0.8000000000	0.7421009650	0.7420866399	0.0000143251
0.9000000000	0.7969082120	0.7968909248	0.0000172872
1.0000000000	0.8427007930	0.8427299585	0.0000291655
1.1000000000	0.8802050700	0.8810778286	0.0008727586
1.2000000000	0.9103139780	0.9109171338	0.0006031558
1.3000000000	0.9340079450	0.9347933491	0.0007854041
1.4000000000	0.9522851200	0.9528095725	0.0005244525
1.5000000000	0.9661051460	0.9664405664	0.0003354204
1.6000000000	0.9763483830	0.9765529721	0.0002045891
1.7000000000	0.9837904590	0.9839085760	0.0001181170
1.8000000000	0.9890905020	0.9891541843	0.0000636823
1.9000000000	0.9927904290	0.9920827001	0.0007077289
2.0000000000	0.9953222650	0.9949003185	0.0004219465
2.1000000000	0.9970205330	0.9967786682	0.0002418648
2.2000000000	0.9981371540	0.9980045299	0.0001326241
2.3000000000	0.9988568230	0.9987878298	0.0000689932
2.4000000000	0.9993114860	0.9992779253	0.0000335607
2.5000000000	0.9995930480	0.9995782135	0.0000148345
3.0000000000	0.9999779100	0.9999786323	0.0000007223
3.5000000000	0.9999992570	0.9999993383	0.0000000813
